customer_id,month,closing_balance,monthly_change,cumulative_balance
19,2020-01-01,106,106,106
19,2020-02-01,345,239,345
19,2020-03-01,1413,1068,1413
19,2020-04-01,1756,343,1756
20,2020-01-01,1271,1271,1271
20,2020-02-01,2321,1050,2321
20,2020-03-01,2578,257,2578
20,2020-04-01,2578,0,2578
21,2020-01-01,1680,1680,1680
21,2020-02-01,3628,1948,3628
21,2020-03-01,6370,2742,6370
21,2020-04-01,7749,1379,7749
22,2020-01-01,1353,1353,1353
22,2020-02-01,5877,4524,5877
22,2020-03-01,9383,3506,9383
22,2020-04-01,12048,2665,12048
23,2020-01-01,574,574,574
23,2020-02-01,982,408,982
23,2020-03-01,2492,1510,2492
23,2020-04-01,3014,522,3014
24,2020-01-01,615,615,615
24,2020-02-01,2557,1942,2557
24,2020-03-01,3666,1109,3666
24,2020-04-01,3666,0,3666
25,2020-01-01,174,174,174
25,2020-02-01,1266,1092,1266
25,2020-03-01,3316,2050,3316
25,2020-04-01,4802,1486,4802
26,2020-01-01,1314,1314,1314
26,2020-02-01,1983,669,1983
26,2020-03-01,3028,1045,3028
26,2020-04-01,4276,1248,4276
27,2020-01-01,3397,3397,3397
27,2020-02-01,7595,4198,7595
27,2020-03-01,11182,3587,11182
27,2020-04-01,11182,0,11182
28,2020-01-01,451,451,451
28,2020-02-01,1720,1269,1720
28,2020-03-01,2678,958,2678
28,2020-04-01,4178,1500,4178
29,2020-01-01,1626,1626,1626
29,2020-02-01,3438,1812,3438
29,2020-03-01,6309,2871,6309
29,2020-04-01,9288,2979,9288
30,2020-01-01,33,33,33
30,2020-02-01,497,464,497
30,2020-03-01,497,0,497
30,2020-04-01,1436,939,1436
31,2020-01-01,83,83,83
31,2020-02-01,83,0,83
31,2020-03-01,2211,2128,2211
31,2020-04-01,2211,0,2211
32,2020-01-01,1907,1907,1907
32,2020-02-01,3786,1879,3786
32,2020-03-01,5005,1219,5005
32,2020-04-01,5163,158,5163
33,2020-01-01,473,473,473
33,2020-02-01,2082,1609,2082
33,2020-03-01,5413,3331,5413
33,2020-04-01,7221,1808,7221
34,2020-01-01,976,976,976
34,2020-02-01,2299,1323,2299
34,2020-03-01,2791,492,2791
34,2020-04-01,2791,0,2791
35,2020-01-01,2309,2309,2309
35,2020-02-01,3637,1328,3637
35,2020-03-01,6917,3280,6917
35,2020-04-01,6917,0,6917
36,2020-01-01,149,149,149
36,2020-02-01,1988,1839,1988
36,2020-03-01,3299,1311,3299
36,2020-04-01,5033,1734,5033
37,2020-01-01,1807,1807,1807
37,2020-02-01,6804,4997,6804
37,2020-03-01,8775,1971,8775
37,2020-04-01,11989,3214,11989
38,2020-01-01,1823,1823,1823
38,2020-02-01,3771,1948,3771
38,2020-03-01,7080,3309,7080
38,2020-04-01,9350,2270,9350
39,2020-01-01,1429,1429,1429
39,2020-02-01,3416,1987,3416
39,2020-03-01,4416,1000,4416
39,2020-04-01,8104,3688,8104
40,2020-01-01,1367,1367,1367
40,2020-02-01,4049,2682,4049
40,2020-03-01,6387,2338,6387
40,2020-04-01,7254,867,7254
41,2020-01-01,1626,1626,1626
41,2020-02-01,3051,1425,3051
41,2020-03-01,7999,4948,7999
41,2020-04-01,8915,916,8915
42,2020-01-01,1839,1839,1839
42,2020-02-01,5167,3328,5167
42,2020-03-01,7121,1954,7121
42,2020-04-01,8120,999,8120
43,2020-01-01,837,837,837
43,2020-02-01,2792,1955,2792
43,2020-03-01,4891,2099,4891
43,2020-04-01,6251,1360,6251
44,2020-01-01,832,832,832
44,2020-02-01,1503,671,1503
44,2020-03-01,1503,0,1503
44,2020-04-01,1823,320,1823
45,2020-01-01,4968,4968,4968
45,2020-02-01,7060,2092,7060
45,2020-03-01,8796,1736,8796
45,2020-04-01,8796,0,8796
46,2020-01-01,1512,1512,1512
46,2020-02-01,2586,1074,2586
46,2020-03-01,4096,1510,4096
46,2020-04-01,6194,2098,6194
47,2020-01-01,2493,2493,2493
47,2020-02-01,4791,2298,4791
47,2020-03-01,8104,3313,8104
47,2020-04-01,8411,307,8411
48,2020-01-01,4496,4496,4496
48,2020-02-01,6812,2316,6812
48,2020-03-01,8529,1717,8529
48,2020-04-01,8529,0,8529
49,2020-01-01,2343,2343,2343
49,2020-02-01,3726,1383,3726
49,2020-03-01,9928,6202,9928
49,2020-04-01,9928,0,9928
50,2020-01-01,931,931,931
50,2020-02-01,3094,2163,3094
50,2020-03-01,5861,2767,5861
50,2020-04-01,6156,295,6156
51,2020-01-01,433,433,433
51,2020-02-01,2145,1712,2145
51,2020-03-01,4203,2058,4203
51,2020-04-01,4788,585,4788
52,2020-01-01,1140,1140,1140
52,2020-02-01,2612,1472,2612
52,2020-03-01,2612,0,2612
52,2020-04-01,2612,0,2612
53,2020-01-01,22,22,22
53,2020-02-01,210,188,210
53,2020-03-01,1604,1394,1604
53,2020-04-01,2933,1329,2933
54,2020-01-01,1658,1658,1658
54,2020-02-01,1687,29,1687
54,2020-03-01,2783,1096,2783
54,2020-04-01,3218,435,3218
55,2020-01-01,380,380,380
55,2020-02-01,3458,3078,3458
55,2020-03-01,4327,869,4327
55,2020-04-01,5189,862,5189
56,2020-01-01,1795,1795,1795
56,2020-02-01,3618,1823,3618
56,2020-03-01,5921,2303,5921
56,2020-04-01,7946,2025,7946
57,2020-01-01,1756,1756,1756
57,2020-02-01,2271,515,2271
57,2020-03-01,3036,765,3036
57,2020-04-01,3036,0,3036
58,2020-01-01,1933,1933,1933
58,2020-02-01,4891,2958,4891
58,2020-03-01,8258,3367,8258
58,2020-04-01,9587,1329,9587
59,2020-01-01,924,924,924
59,2020-02-01,2190,1266,2190
59,2020-03-01,2728,538,2728
59,2020-04-01,3582,854,3582
60,2020-01-01,1405,1405,1405
60,2020-02-01,2262,857,2262
60,2020-03-01,4051,1789,4051
60,2020-04-01,4475,424,4475
61,2020-01-01,1754,1754,1754
61,2020-02-01,3365,1611,3365
61,2020-03-01,9550,6185,9550
61,2020-04-01,10713,1163,10713
62,2020-01-01,648,648,648
62,2020-02-01,648,0,648
62,2020-03-01,1199,551,1199
62,2020-04-01,1199,0,1199
63,2020-01-01,800,800,800
63,2020-02-01,2147,1347,2147
63,2020-03-01,5140,2993,5140
63,2020-04-01,5140,0,5140
64,2020-01-01,2332,2332,2332
64,2020-02-01,3208,876,3208
64,2020-03-01,4829,1621,4829
64,2020-04-01,4829,0,4829
65,2020-01-01,1355,1355,1355
65,2020-02-01,1355,0,1355
65,2020-03-01,2350,995,2350
65,2020-04-01,3281,931,3281
66,2020-01-01,2125,2125,2125
66,2020-02-01,2604,479,2604
66,2020-03-01,4613,2009,4613
66,2020-04-01,4613,0,4613
67,2020-01-01,1593,1593,1593
67,2020-02-01,3351,1758,3351
67,2020-03-01,6190,2839,6190
67,2020-04-01,7706,1516,7706
68,2020-01-01,574,574,574
68,2020-02-01,870,296,870
68,2020-03-01,3048,2178,3048
68,2020-04-01,3048,0,3048
69,2020-01-01,2033,2033,2033
69,2020-02-01,6744,4711,6744
69,2020-03-01,10290,3546,10290
69,2020-04-01,11037,747,11037
70,2020-01-01,2566,2566,2566
70,2020-02-01,3805,1239,3805
70,2020-03-01,6230,2425,6230
70,2020-04-01,6230,0,6230
71,2020-01-01,128,128,128
71,2020-02-01,929,801,929
71,2020-03-01,1521,592,1521
71,2020-04-01,1521,0,1521
72,2020-01-01,796,796,796
72,2020-02-01,3175,2379,3175
72,2020-03-01,5306,2131,5306
72,2020-04-01,5953,647,5953
73,2020-01-01,513,513,513
73,2020-02-01,513,0,513
73,2020-03-01,513,0,513
73,2020-04-01,513,0,513
74,2020-01-01,229,229,229
74,2020-02-01,229,0,229
74,2020-03-01,318,89,318
74,2020-04-01,318,0,318
75,2020-01-01,234,234,234
75,2020-02-01,294,60,294
75,2020-03-01,294,0,294
75,2020-04-01,294,0,294
76,2020-01-01,5245,5245,5245
76,2020-02-01,9481,4236,9481
76,2020-03-01,11127,1646,11127
76,2020-04-01,11127,0,11127
77,2020-01-01,120,120,120
77,2020-02-01,501,381,501
77,2020-03-01,1621,1120,1621
77,2020-04-01,1621,0,1621
78,2020-01-01,1278,1278,1278
78,2020-02-01,3550,2272,3550
78,2020-03-01,4823,1273,4823
78,2020-04-01,5082,259,5082
79,2020-01-01,521,521,521
79,2020-02-01,1380,859,1380
79,2020-03-01,1380,0,1380
79,2020-04-01,1380,0,1380
80,2020-01-01,795,795,795
80,2020-02-01,1190,395,1190
80,2020-03-01,1918,728,1918
80,2020-04-01,2341,423,2341
81,2020-01-01,403,403,403
81,2020-02-01,1763,1360,1763
81,2020-03-01,4388,2625,4388
81,2020-04-01,6254,1866,6254
82,2020-01-01,6346,6346,6346
82,2020-02-01,6420,74,6420
82,2020-03-01,8817,2397,8817
82,2020-04-01,10182,1365,10182
83,2020-01-01,2535,2535,2535
83,2020-02-01,4326,1791,4326
83,2020-03-01,7664,3338,7664
83,2020-04-01,8029,365,8029
84,2020-01-01,968,968,968
84,2020-02-01,968,0,968
84,2020-03-01,1327,359,1327
84,2020-04-01,1327,0,1327
85,2020-01-01,467,467,467
85,2020-02-01,467,0,467
85,2020-03-01,1076,609,1076
85,2020-04-01,1506,430,1506
86,2020-01-01,2234,2234,2234
86,2020-02-01,5340,3106,5340
86,2020-03-01,10221,4881,10221
86,2020-04-01,10221,0,10221
87,2020-01-01,1919,1919,1919
87,2020-02-01,4794,2875,4794
87,2020-03-01,4991,197,4991
87,2020-04-01,6613,1622,6613
88,2020-01-01,1851,1851,1851
88,2020-02-01,2904,1053,2904
88,2020-03-01,4392,1488,4392
88,2020-04-01,4476,84,4476
89,2020-01-01,210,210,210
89,2020-02-01,2099,1889,2099
89,2020-03-01,4917,2818,4917
89,2020-04-01,8213,3296,8213
90,2020-01-01,2690,2690,2690
90,2020-02-01,7271,4581,7271
90,2020-03-01,8510,1239,8510
90,2020-04-01,8732,222,8732
91,2020-01-01,2445,2445,2445
91,2020-02-01,6771,4326,6771
91,2020-03-01,9490,2719,9490
91,2020-04-01,9655,165,9655
92,2020-01-01,985,985,985
92,2020-02-01,985,0,985
92,2020-03-01,1828,843,1828
92,2020-04-01,1828,0,1828
93,2020-01-01,1585,1585,1585
93,2020-02-01,5411,3826,5411
93,2020-03-01,7314,1903,7314
93,2020-04-01,7532,218,7532
94,2020-01-01,2570,2570,2570
94,2020-02-01,3316,746,3316
94,2020-03-01,4742,1426,4742
94,2020-04-01,4742,0,4742
95,2020-01-01,217,217,217
95,2020-02-01,4568,4351,4568
95,2020-03-01,8710,4142,8710
95,2020-04-01,8710,0,8710
96,2020-01-01,2234,2234,2234
96,2020-02-01,2913,679,2913
96,2020-03-01,6266,3353,6266
96,2020-04-01,6266,0,6266
97,2020-01-01,2723,2723,2723
97,2020-02-01,4722,1999,4722
97,2020-03-01,7361,2639,7361
97,2020-04-01,7361,0,7361
98,2020-01-01,622,622,622
98,2020-02-01,957,335,957
98,2020-03-01,2229,1272,2229
98,2020-04-01,3656,1427,3656
99,2020-01-01,949,949,949
99,2020-02-01,1138,189,1138
99,2020-03-01,1161,23,1161
99,2020-04-01,1161,0,1161
100,2020-01-01,1081,1081,1081
100,2020-02-01,2659,1578,2659
100,2020-03-01,5535,2876,5535
100,2020-04-01,5535,0,5535
101,2020-01-01,756,756,756
101,2020-02-01,1596,840,1596
101,2020-03-01,4033,2437,4033
101,2020-04-01,4033,0,4033
102,2020-01-01,917,917,917
102,2020-02-01,4296,3379,4296
102,2020-03-01,8893,4597,8893
102,2020-04-01,11528,2635,11528
103,2020-01-01,1970,1970,1970
103,2020-02-01,3060,1090,3060
103,2020-03-01,6389,3329,6389
103,2020-04-01,6389,0,6389
104,2020-01-01,1363,1363,1363
104,2020-02-01,3013,1650,3013
104,2020-03-01,4586,1573,4586
104,2020-04-01,4586,0,4586
105,2020-01-01,1014,1014,1014
105,2020-02-01,1862,848,1862
105,2020-03-01,4315,2453,4315
105,2020-04-01,4528,213,4528
106,2020-01-01,1021,1021,1021
106,2020-02-01,3512,2491,3512
106,2020-03-01,5495,1983,5495
106,2020-04-01,6846,1351,6846
107,2020-01-01,1220,1220,1220
107,2020-02-01,1766,546,1766
107,2020-03-01,1766,0,1766
107,2020-04-01,1766,0,1766
108,2020-01-01,530,530,530
108,2020-02-01,1796,1266,1796
108,2020-03-01,2604,808,2604
108,2020-04-01,5292,2688,5292
109,2020-01-01,429,429,429
109,2020-02-01,2491,2062,2491
109,2020-03-01,2491,0,2491
109,2020-04-01,2491,0,2491
110,2020-01-01,6848,6848,6848
110,2020-02-01,8736,1888,8736
110,2020-03-01,10921,2185,10921
110,2020-04-01,10921,0,10921
111,2020-01-01,101,101,101
111,2020-02-01,463,362,463
111,2020-03-01,827,364,827
111,2020-04-01,827,0,827
112,2020-01-01,945,945,945
112,2020-02-01,3045,2100,3045
112,2020-03-01,4054,1009,4054
112,2020-04-01,4054,0,4054
113,2020-01-01,539,539,539
113,2020-02-01,1602,1063,1602
113,2020-03-01,3618,2016,3618
113,2020-04-01,4770,1152,4770
114,2020-01-01,743,743,743
114,2020-02-01,743,0,743
114,2020-03-01,1317,574,1317
114,2020-04-01,2291,974,2291
115,2020-01-01,144,144,144
115,2020-02-01,1133,989,1133
115,2020-03-01,2964,1831,2964
115,2020-04-01,3929,965,3929
116,2020-01-01,167,167,167
116,2020-02-01,969,802,969
116,2020-03-01,1459,490,1459
116,2020-04-01,1672,213,1672
117,2020-01-01,35,35,35
117,2020-02-01,1680,1645,1680
117,2020-03-01,3030,1350,3030
117,2020-04-01,3030,0,3030
118,2020-01-01,2049,2049,2049
118,2020-02-01,2225,176,2225
118,2020-03-01,3585,1360,3585
118,2020-04-01,3585,0,3585
119,2020-01-01,62,62,62
119,2020-02-01,62,0,62
119,2020-03-01,1031,969,1031
119,2020-04-01,1448,417,1448
120,2020-01-01,824,824,824
120,2020-02-01,5819,4995,5819
120,2020-03-01,8632,2813,8632
120,2020-04-01,9655,1023,9655
121,2020-01-01,1992,1992,1992
121,2020-02-01,3804,1812,3804
121,2020-03-01,5577,1773,5577
121,2020-04-01,5577,0,5577
122,2020-01-01,480,480,480
122,2020-02-01,718,238,718
122,2020-03-01,1813,1095,1813
122,2020-04-01,4194,2381,4194
123,2020-01-01,1563,1563,1563
123,2020-02-01,3123,1560,3123
123,2020-03-01,4588,1465,4588
123,2020-04-01,7588,3000,7588
124,2020-01-01,1873,1873,1873
124,2020-02-01,3874,2001,3874
124,2020-03-01,6943,3069,6943
124,2020-04-01,6943,0,6943
125,2020-01-01,2065,2065,2065
125,2020-02-01,5487,3422,5487
125,2020-03-01,7552,2065,7552
125,2020-04-01,7552,0,7552
126,2020-01-01,1026,1026,1026
126,2020-02-01,6280,5254,6280
126,2020-03-01,8926,2646,8926
126,2020-04-01,8926,0,8926
127,2020-01-01,217,217,217
127,2020-02-01,703,486,703
127,2020-03-01,703,0,703
127,2020-04-01,1672,969,1672
128,2020-01-01,410,410,410
128,2020-02-01,1620,1210,1620
128,2020-03-01,2540,920,2540
128,2020-04-01,3756,1216,3756
129,2020-01-01,1482,1482,1482
129,2020-02-01,3708,2226,3708
129,2020-03-01,4880,1172,4880
129,2020-04-01,6955,2075,6955
130,2020-01-01,1754,1754,1754
130,2020-02-01,2666,912,2666
130,2020-03-01,5900,3234,5900
130,2020-04-01,5900,0,5900
131,2020-01-01,5656,5656,5656
131,2020-02-01,8753,3097,8753
131,2020-03-01,12264,3511,12264
131,2020-04-01,12264,0,12264
132,2020-01-01,1282,1282,1282
132,2020-02-01,2872,1590,2872
132,2020-03-01,5284,2412,5284
132,2020-04-01,5613,329,5613
133,2020-01-01,914,914,914
133,2020-02-01,926,12,926
133,2020-03-01,926,0,926
133,2020-04-01,926,0,926
134,2020-01-01,3596,3596,3596
134,2020-02-01,5470,1874,5470
134,2020-03-01,7416,1946,7416
134,2020-04-01,7416,0,7416
135,2020-01-01,1794,1794,1794
135,2020-02-01,4511,2717,4511
135,2020-03-01,4891,380,4891
135,2020-04-01,4891,0,4891
136,2020-01-01,2233,2233,2233
136,2020-02-01,2720,487,2720
136,2020-03-01,3615,895,3615
136,2020-04-01,4519,904,4519
137,2020-01-01,1366,1366,1366
137,2020-02-01,2118,752,2118
137,2020-03-01,2118,0,2118
137,2020-04-01,2118,0,2118
138,2020-01-01,1316,1316,1316
138,2020-02-01,5242,3926,5242
138,2020-03-01,6755,1513,6755
138,2020-04-01,7605,850,7605
139,2020-01-01,2040,2040,2040
139,2020-02-01,2500,460,2500
139,2020-03-01,7989,5489,7989
139,2020-04-01,7989,0,7989
140,2020-01-01,803,803,803
140,2020-02-01,1526,723,1526
140,2020-03-01,4357,2831,4357
140,2020-04-01,9453,5096,9453
141,2020-01-01,2237,2237,2237
141,2020-02-01,4089,1852,4089
141,2020-03-01,4719,630,4719
141,2020-04-01,5144,425,5144
142,2020-01-01,1378,1378,1378
142,2020-02-01,2316,938,2316
142,2020-03-01,3609,1293,3609
142,2020-04-01,4255,646,4255
143,2020-01-01,807,807,807
143,2020-02-01,2311,1504,2311
143,2020-03-01,3958,1647,3958
143,2020-04-01,7921,3963,7921
144,2020-01-01,1853,1853,1853
144,2020-02-01,4398,2545,4398
144,2020-03-01,4868,470,4868
144,2020-04-01,7843,2975,7843
145,2020-01-01,3781,3781,3781
145,2020-02-01,7496,3715,7496
145,2020-03-01,10675,3179,10675
145,2020-04-01,10675,0,10675
146,2020-01-01,3115,3115,3115
146,2020-02-01,5575,2460,5575
146,2020-03-01,8063,2488,8063
146,2020-04-01,8127,64,8127
147,2020-01-01,934,934,934
147,2020-02-01,2032,1098,2032
147,2020-03-01,2032,0,2032
147,2020-04-01,2032,0,2032
148,2020-01-01,88,88,88
148,2020-02-01,2643,2555,2643
148,2020-03-01,3730,1087,3730
148,2020-04-01,4384,654,4384
149,2020-01-01,2314,2314,2314
149,2020-02-01,2337,23,2337
149,2020-03-01,6086,3749,6086
149,2020-04-01,6086,0,6086
150,2020-01-01,2920,2920,2920
150,2020-02-01,4370,1450,4370
150,2020-03-01,5892,1522,5892
150,2020-04-01,6717,825,6717
151,2020-01-01,1367,1367,1367
151,2020-02-01,2729,1362,2729
151,2020-03-01,4595,1866,4595
151,2020-04-01,4595,0,4595
152,2020-01-01,1831,1831,1831
152,2020-02-01,6188,4357,6188
152,2020-03-01,6270,82,6270
152,2020-04-01,6270,0,6270
153,2020-01-01,3462,3462,3462
153,2020-02-01,7740,4278,7740
153,2020-03-01,10781,3041,10781
153,2020-04-01,10781,0,10781
154,2020-01-01,3092,3092,3092
154,2020-02-01,6220,3128,6220
154,2020-03-01,9286,3066,9286
154,2020-04-01,9909,623,9909
155,2020-01-01,2420,2420,2420
155,2020-02-01,5973,3553,5973
155,2020-03-01,10671,4698,10671
155,2020-04-01,11824,1153,11824
156,2020-01-01,82,82,82
156,2020-02-01,82,0,82
156,2020-03-01,82,0,82
156,2020-04-01,312,230,312
157,2020-01-01,1304,1304,1304
157,2020-02-01,2053,749,2053
157,2020-03-01,5430,3377,5430
157,2020-04-01,5430,0,5430
158,2020-01-01,1228,1228,1228
158,2020-02-01,1420,192,1420
158,2020-03-01,4890,3470,4890
158,2020-04-01,4890,0,4890
159,2020-01-01,1639,1639,1639
159,2020-02-01,1639,0,1639
159,2020-03-01,1639,0,1639
159,2020-04-01,1639,0,1639
160,2020-01-01,843,843,843
160,2020-02-01,5461,4618,5461
160,2020-03-01,7607,2146,7607
160,2020-04-01,8635,1028,8635
161,2020-01-01,2173,2173,2173
161,2020-02-01,4925,2752,4925
161,2020-03-01,9753,4828,9753
161,2020-04-01,9753,0,9753
162,2020-01-01,123,123,123
162,2020-02-01,1156,1033,1156
162,2020-03-01,1156,0,1156
162,2020-04-01,1156,0,1156
163,2020-01-01,1119,1119,1119
163,2020-02-01,1374,255,1374
163,2020-03-01,4162,2788,4162
163,2020-04-01,7319,3157,7319
164,2020-01-01,548,548,548
164,2020-02-01,957,409,957
164,2020-03-01,957,0,957
164,2020-04-01,957,0,957
165,2020-01-01,1805,1805,1805
165,2020-02-01,3702,1897,3702
165,2020-03-01,6745,3043,6745
165,2020-04-01,9601,2856,9601
166,2020-01-01,957,957,957
166,2020-02-01,1546,589,1546
166,2020-03-01,2359,813,2359
166,2020-04-01,2839,480,2839
167,2020-01-01,51,51,51
167,2020-02-01,2158,2107,2158
167,2020-03-01,3326,1168,3326
167,2020-04-01,7230,3904,7230
168,2020-01-01,114,114,114
168,2020-02-01,1403,1289,1403
168,2020-03-01,1403,0,1403
168,2020-04-01,1403,0,1403
169,2020-01-01,3139,3139,3139
169,2020-02-01,4230,1091,4230
169,2020-03-01,5563,1333,5563
169,2020-04-01,6460,897,6460
170,2020-01-01,2292,2292,2292
170,2020-02-01,2627,335,2627
170,2020-03-01,4861,2234,4861
170,2020-04-01,6166,1305,6166
171,2020-01-01,1933,1933,1933
171,2020-02-01,5436,3503,5436
171,2020-03-01,6847,1411,6847
171,2020-04-01,8451,1604,8451
172,2020-01-01,1758,1758,1758
172,2020-02-01,1758,0,1758
172,2020-03-01,2740,982,2740
172,2020-04-01,2740,0,2740
173,2020-01-01,1298,1298,1298
173,2020-02-01,2170,872,2170
173,2020-03-01,4224,2054,4224
173,2020-04-01,5015,791,5015
174,2020-01-01,1142,1142,1142
174,2020-02-01,2818,1676,2818
174,2020-03-01,5785,2967,5785
174,2020-04-01,7564,1779,7564
175,2020-01-01,2322,2322,2322
175,2020-02-01,3235,913,3235
175,2020-03-01,4522,1287,4522
175,2020-04-01,6589,2067,6589
176,2020-01-01,655,655,655
176,2020-02-01,2261,1606,2261
176,2020-03-01,3397,1136,3397
176,2020-04-01,3933,536,3933
177,2020-01-01,405,405,405
177,2020-02-01,2840,2435,2840
177,2020-03-01,8898,6058,8898
177,2020-04-01,10672,1774,10672
178,2020-01-01,252,252,252
178,2020-02-01,1049,797,1049
178,2020-03-01,2646,1597,2646
178,2020-04-01,5019,2373,5019
179,2020-01-01,2848,2848,2848
179,2020-02-01,5862,3014,5862
179,2020-03-01,11461,5599,11461
179,2020-04-01,11461,0,11461
180,2020-01-01,2178,2178,2178
180,2020-02-01,3148,970,3148
180,2020-03-01,4144,996,4144
180,2020-04-01,4515,371,4515
181,2020-01-01,3115,3115,3115
181,2020-02-01,8015,4900,8015
181,2020-03-01,9812,1797,9812
181,2020-04-01,9812,0,9812
182,2020-01-01,97,97,97
182,2020-02-01,2333,2236,2333
182,2020-03-01,3131,798,3131
182,2020-04-01,4293,1162,4293
183,2020-01-01,2228,2228,2228
183,2020-02-01,5417,3189,5417
183,2020-03-01,7771,2354,7771
183,2020-04-01,10006,2235,10006
184,2020-01-01,472,472,472
184,2020-02-01,4129,3657,4129
184,2020-03-01,6328,2199,6328
184,2020-04-01,8920,2592,8920
185,2020-01-01,626,626,626
185,2020-02-01,2835,2209,2835
185,2020-03-01,5407,2572,5407
185,2020-04-01,10957,5550,10957
186,2020-01-01,1402,1402,1402
186,2020-02-01,3483,2081,3483
186,2020-03-01,7356,3873,7356
186,2020-04-01,9476,2120,9476
187,2020-01-01,1409,1409,1409
187,2020-02-01,2673,1264,2673
187,2020-03-01,4354,1681,4354
187,2020-04-01,5422,1068,5422
188,2020-01-01,1904,1904,1904
188,2020-02-01,4641,2737,4641
188,2020-03-01,6776,2135,6776
188,2020-04-01,7303,527,7303
189,2020-01-01,2796,2796,2796
189,2020-02-01,4059,1263,4059
189,2020-03-01,5965,1906,5965
189,2020-04-01,5965,0,5965
190,2020-01-01,14,14,14
190,2020-02-01,459,445,459
190,2020-03-01,1421,962,1421
190,2020-04-01,2076,655,2076
191,2020-01-01,1632,1632,1632
191,2020-02-01,2244,612,2244
191,2020-03-01,2514,270,2514
191,2020-04-01,2671,157,2671
192,2020-01-01,2526,2526,2526
192,2020-02-01,8225,5699,8225
192,2020-03-01,11691,3466,11691
192,2020-04-01,12447,756,12447
193,2020-01-01,689,689,689
193,2020-02-01,689,0,689
193,2020-03-01,892,203,892
193,2020-04-01,892,0,892
194,2020-01-01,137,137,137
194,2020-02-01,2557,2420,2557
194,2020-03-01,7400,4843,7400
194,2020-04-01,8969,1569,8969
195,2020-01-01,489,489,489
195,2020-02-01,489,0,489
195,2020-03-01,572,83,572
195,2020-04-01,572,0,572
196,2020-01-01,734,734,734
196,2020-02-01,2319,1585,2319
196,2020-03-01,2406,87,2406
196,2020-04-01,2406,0,2406
197,2020-01-01,852,852,852
197,2020-02-01,4193,3341,4193
197,2020-03-01,9079,4886,9079
197,2020-04-01,12509,3430,12509
198,2020-01-01,1430,1430,1430
198,2020-02-01,2892,1462,2892
198,2020-03-01,5353,2461,5353
198,2020-04-01,5849,496,5849
199,2020-01-01,530,530,530
199,2020-02-01,1889,1359,1889
199,2020-03-01,2418,529,2418
199,2020-04-01,3534,1116,3534
200,2020-01-01,997,997,997
200,2020-02-01,3342,2345,3342
200,2020-03-01,5186,1844,5186
200,2020-04-01,5741,555,5741
201,2020-01-01,2939,2939,2939
201,2020-02-01,3370,431,3370
201,2020-03-01,9413,6043,9413
201,2020-04-01,9413,0,9413
202,2020-01-01,1422,1422,1422
202,2020-02-01,3852,2430,3852
202,2020-03-01,7221,3369,7221
202,2020-04-01,7221,0,7221
203,2020-01-01,3836,3836,3836
203,2020-02-01,7235,3399,7235
203,2020-03-01,10451,3216,10451
