match_id,over_id,bowler,total_runs,average_highest_over_total
419113,4,90,18,19.426056338028168
419114,4,9,17,19.426056338028168
419115,20,218,22,19.426056338028168
419116,7,213,18,19.426056338028168
419117,13,77,25,19.426056338028168
419118,19,220,17,19.426056338028168
419119,11,50,18,19.426056338028168
419120,2,190,20,19.426056338028168
419121,8,135,21,19.426056338028168
419122,2,77,24,19.426056338028168
419123,20,84,17,19.426056338028168
419124,20,14,16,19.426056338028168
419125,2,61,20,19.426056338028168
419127,16,15,16,19.426056338028168
419128,19,151,24,19.426056338028168
419129,5,126,18,19.426056338028168
419130,16,280,19,19.426056338028168
419131,4,61,20,19.426056338028168
419132,20,29,21,19.426056338028168
419133,19,14,18,19.426056338028168
419134,5,226,24,19.426056338028168
419135,20,206,20,19.426056338028168
419136,14,82,18,19.426056338028168
419137,7,243,13,19.426056338028168
419138,3,14,24,19.426056338028168
419139,18,238,20,19.426056338028168
419140,17,131,21,19.426056338028168
419141,17,66,25,19.426056338028168
419142,16,226,26,19.426056338028168
419143,19,206,20,19.426056338028168
419144,13,161,33,19.426056338028168
419145,14,136,20,19.426056338028168
419146,2,32,20,19.426056338028168
419147,10,246,15,19.426056338028168
419148,4,233,20,19.426056338028168
419149,5,191,16,19.426056338028168
419150,17,56,23,19.426056338028168
419151,4,29,15,19.426056338028168
419152,4,248,16,19.426056338028168
419153,5,14,21,19.426056338028168
419154,2,29,15,19.426056338028168
419155,20,39,20,19.426056338028168
419156,18,188,21,19.426056338028168
419157,20,198,25,19.426056338028168
419158,11,4,18,19.426056338028168
419159,4,160,18,19.426056338028168
419160,13,151,12,19.426056338028168
419161,17,61,21,19.426056338028168
419162,9,75,22,19.426056338028168
419163,13,230,16,19.426056338028168
419164,19,248,19,19.426056338028168
419165,4,73,14,19.426056338028168
419166,6,1,13,19.426056338028168
419167,9,50,18,19.426056338028168
419168,15,186,17,19.426056338028168
419169,12,235,11,19.426056338028168
419170,18,248,22,19.426056338028168
501203,19,278,17,19.426056338028168
501204,19,131,18,19.426056338028168
501205,18,259,20,19.426056338028168
501206,12,190,15,19.426056338028168
501207,13,14,15,19.426056338028168
501208,15,154,15,19.426056338028168
501209,16,238,17,19.426056338028168
501210,8,244,17,19.426056338028168
501211,18,14,22,19.426056338028168
501212,20,267,19,19.426056338028168
501213,16,269,16,19.426056338028168
501214,6,196,18,19.426056338028168
501215,16,81,20,19.426056338028168
501216,11,269,17,19.426056338028168
501217,5,120,23,19.426056338028168
501218,20,106,26,19.426056338028168
501219,14,238,21,19.426056338028168
501220,9,377,15,19.426056338028168
501221,2,258,17,19.426056338028168
501223,8,221,13,19.426056338028168
501224,3,66,15,19.426056338028168
501225,3,39,25,19.426056338028168
501226,16,119,17,19.426056338028168
501227,1,15,19,19.426056338028168
501228,20,188,22,19.426056338028168
501229,20,258,24,19.426056338028168
501230,13,121,16,19.426056338028168
501231,5,109,13,19.426056338028168
501232,5,106,17,19.426056338028168
501233,9,83,16,19.426056338028168
501234,16,77,15,19.426056338028168
501235,11,82,15,19.426056338028168
501236,3,32,11,19.426056338028168
501237,18,282,24,19.426056338028168
501238,16,12,18,19.426056338028168
501239,4,4,15,19.426056338028168
501240,16,83,17,19.426056338028168
501241,19,84,21,19.426056338028168
501242,12,14,15,19.426056338028168
501243,4,232,23,19.426056338028168
501244,17,84,14,19.426056338028168
501245,11,298,19,19.426056338028168
501246,19,274,27,19.426056338028168
501247,20,66,22,19.426056338028168
501248,8,290,23,19.426056338028168
501249,8,14,22,19.426056338028168
501250,17,151,13,19.426056338028168
501251,3,190,20,19.426056338028168
501252,3,294,37,19.426056338028168
501253,15,302,22,19.426056338028168
501254,17,39,18,19.426056338028168
501255,1,94,15,19.426056338028168
501256,10,57,18,19.426056338028168
501257,8,270,13,19.426056338028168
501258,19,82,20,19.426056338028168
501259,12,104,19,19.426056338028168
501260,2,346,23,19.426056338028168
501261,20,126,23,19.426056338028168
501262,13,249,25,19.426056338028168
501263,1,238,19,19.426056338028168
501264,6,253,17,19.426056338028168
501265,15,268,30,19.426056338028168
501266,19,71,19,19.426056338028168
501267,3,274,15,19.426056338028168
501268,6,194,15,19.426056338028168
501269,13,67,20,19.426056338028168
501271,4,248,18,19.426056338028168
501272,20,151,23,19.426056338028168
501273,13,244,23,19.426056338028168
501274,5,31,17,19.426056338028168
501275,1,246,27,19.426056338028168
501276,12,270,18,19.426056338028168
548311,6,35,16,19.426056338028168
548312,10,389,17,19.426056338028168
548313,12,275,12,19.426056338028168
548314,17,67,18,19.426056338028168
548315,3,29,19,19.426056338028168
548316,20,120,23,19.426056338028168
548317,18,196,19,19.426056338028168
548318,19,256,27,19.426056338028168
548319,20,258,21,19.426056338028168
548320,4,311,15,19.426056338028168
548321,3,29,14,19.426056338028168
548322,14,192,23,19.426056338028168
548323,19,8,28,19.426056338028168
548324,8,137,12,19.426056338028168
548325,16,89,16,19.426056338028168
548326,13,154,21,19.426056338028168
548327,4,73,18,19.426056338028168
548328,19,9,19,19.426056338028168
548329,14,270,24,19.426056338028168
548330,12,82,17,19.426056338028168
548331,19,75,18,19.426056338028168
548332,13,235,31,19.426056338028168
548333,5,14,15,19.426056338028168
548334,6,325,20,19.426056338028168
548335,6,248,18,19.426056338028168
548336,18,333,17,19.426056338028168
548337,15,35,22,19.426056338028168
548338,18,293,23,19.426056338028168
548339,15,14,21,19.426056338028168
548340,3,31,13,19.426056338028168
548341,19,39,21,19.426056338028168
548342,6,73,15,19.426056338028168
548344,19,67,27,19.426056338028168
548346,16,235,19,19.426056338028168
548347,11,221,23,19.426056338028168
548348,8,186,17,19.426056338028168
548349,19,89,23,19.426056338028168
548350,20,196,20,19.426056338028168
548351,18,136,14,19.426056338028168
548352,4,66,11,19.426056338028168
548353,18,1,25,19.426056338028168
548354,3,29,18,19.426056338028168
548355,13,333,19,19.426056338028168
548356,19,106,17,19.426056338028168
548357,5,326,21,19.426056338028168
548358,6,106,19,19.426056338028168
548359,6,333,19,19.426056338028168
548360,5,126,24,19.426056338028168
548361,18,94,23,19.426056338028168
548362,2,116,17,19.426056338028168
548363,3,83,16,19.426056338028168
548364,2,326,18,19.426056338028168
548365,11,131,22,19.426056338028168
548366,10,71,18,19.426056338028168
548367,6,299,25,19.426056338028168
548368,15,89,19,19.426056338028168
548369,5,190,13,19.426056338028168
548370,10,83,16,19.426056338028168
548371,15,136,21,19.426056338028168
548372,20,126,24,19.426056338028168
548373,19,389,18,19.426056338028168
548374,11,67,15,19.426056338028168
548375,12,50,14,19.426056338028168
548376,15,91,22,19.426056338028168
548377,16,322,22,19.426056338028168
548378,6,192,14,19.426056338028168
548379,7,333,23,19.426056338028168
548380,13,328,20,19.426056338028168
548381,2,120,24,19.426056338028168
548382,10,50,22,19.426056338028168
548383,20,296,21,19.426056338028168
548384,11,50,19,19.426056338028168
548385,19,296,25,19.426056338028168
548386,4,109,20,19.426056338028168
598003,3,29,15,19.426056338028168
598004,17,258,24,19.426056338028168
598005,17,307,15,19.426056338028168
598006,15,192,19,19.426056338028168
598007,18,221,17,19.426056338028168
598008,4,106,21,19.426056338028168
598010,19,315,18,19.426056338028168
598011,19,29,22,19.426056338028168
598012,16,209,16,19.426056338028168
598013,6,210,22,19.426056338028168
598014,4,77,21,19.426056338028168
598015,17,84,17,19.426056338028168
598016,18,253,21,19.426056338028168
598017,19,350,20,19.426056338028168
598018,18,280,22,19.426056338028168
598019,18,309,16,19.426056338028168
598020,19,223,16,19.426056338028168
598021,19,315,23,19.426056338028168
598023,20,106,14,19.426056338028168
598024,20,357,19,19.426056338028168
598025,18,190,19,19.426056338028168
598026,19,321,21,19.426056338028168
598027,19,9,15,19.426056338028168
598028,5,238,15,19.426056338028168
598029,4,375,17,19.426056338028168
598030,19,14,20,19.426056338028168
598031,17,35,18,19.426056338028168
598032,8,254,29,19.426056338028168
598033,19,321,19,19.426056338028168
598034,1,50,26,19.426056338028168
598035,19,364,17,19.426056338028168
598036,20,151,18,19.426056338028168
598037,15,84,20,19.426056338028168
598038,9,81,19,19.426056338028168
598039,18,223,21,19.426056338028168
598040,19,363,21,19.426056338028168
598041,20,310,22,19.426056338028168
598042,20,4,27,19.426056338028168
598043,18,106,17,19.426056338028168
598044,20,280,16,19.426056338028168
598045,20,73,16,19.426056338028168
598046,12,21,19,19.426056338028168
598047,20,106,26,19.426056338028168
598048,9,140,15,19.426056338028168
598049,2,232,11,19.426056338028168
598050,15,120,22,19.426056338028168
598051,14,357,20,19.426056338028168
598052,14,191,21,19.426056338028168
598053,16,136,21,19.426056338028168
598054,5,238,17,19.426056338028168
598055,20,210,25,19.426056338028168
598056,17,84,25,19.426056338028168
598057,7,335,14,19.426056338028168
598058,17,191,17,19.426056338028168
598059,18,232,24,19.426056338028168
598060,11,131,14,19.426056338028168
598061,14,136,18,19.426056338028168
598062,17,244,15,19.426056338028168
598063,11,201,23,19.426056338028168
598064,3,29,19,19.426056338028168
598065,17,280,29,19.426056338028168
598066,18,151,18,19.426056338028168
598067,19,73,18,19.426056338028168
598068,16,131,16,19.426056338028168
598069,15,61,26,19.426056338028168
598070,14,309,14,19.426056338028168
598071,8,194,20,19.426056338028168
598072,19,232,24,19.426056338028168
598073,5,391,20,19.426056338028168
598074,19,140,16,19.426056338028168
598075,20,194,19,19.426056338028168
598076,14,166,18,19.426056338028168
598077,20,194,18,19.426056338028168
598078,20,221,18,19.426056338028168
729284,15,131,20,19.426056338028168
729286,15,235,20,19.426056338028168
729288,13,322,22,19.426056338028168
729290,3,310,13,19.426056338028168
729292,6,109,18,19.426056338028168
729294,18,190,21,19.426056338028168
729296,18,80,27,19.426056338028168
729298,17,346,16,19.426056338028168
729300,13,136,25,19.426056338028168
729302,6,310,19,19.426056338028168
729304,17,378,16,19.426056338028168
729306,18,346,21,19.426056338028168
729308,4,15,17,19.426056338028168
729310,10,377,12,19.426056338028168
729312,6,315,14,19.426056338028168
729314,15,57,17,19.426056338028168
729316,19,451,20,19.426056338028168
729318,1,305,20,19.426056338028168
729322,17,136,27,19.426056338028168
733976,16,451,19,19.426056338028168
733978,13,374,20,19.426056338028168
733980,20,363,18,19.426056338028168
733982,19,94,24,19.426056338028168
733984,16,81,19,19.426056338028168
733986,4,346,18,19.426056338028168
733988,3,453,28,19.426056338028168
733990,18,315,17,19.426056338028168
733992,20,364,23,19.426056338028168
733994,20,310,12,19.426056338028168
733996,16,311,26,19.426056338028168
733998,6,163,15,19.426056338028168
734000,20,359,18,19.426056338028168
734002,4,357,19,19.426056338028168
734004,18,106,23,19.426056338028168
734006,20,221,18,19.426056338028168
734008,10,455,19,19.426056338028168
734010,20,342,27,19.426056338028168
734012,5,367,26,19.426056338028168
734014,14,67,17,19.426056338028168
734016,15,368,17,19.426056338028168
734018,7,452,16,19.426056338028168
734020,12,136,15,19.426056338028168
734022,19,456,18,19.426056338028168
734024,4,387,18,19.426056338028168
734026,12,166,19,19.426056338028168
734028,14,67,19,19.426056338028168
734030,15,367,15,19.426056338028168
734032,15,382,24,19.426056338028168
734034,20,94,24,19.426056338028168
734036,5,368,18,19.426056338028168
734038,19,310,23,19.426056338028168
734040,16,27,22,19.426056338028168
734042,13,94,26,19.426056338028168
734044,6,376,18,19.426056338028168
734046,4,80,19,19.426056338028168
734048,18,276,21,19.426056338028168
734050,16,131,20,19.426056338028168
734052,6,333,33,19.426056338028168
734054,15,190,20,19.426056338028168
829710,15,232,21,19.426056338028168
829712,20,71,17,19.426056338028168
829714,19,357,20,19.426056338028168
829716,12,84,23,19.426056338028168
829718,18,315,17,19.426056338028168
829720,13,191,19,19.426056338028168
829722,17,395,20,19.426056338028168
829724,2,311,20,19.426056338028168
829726,19,377,20,19.426056338028168
829728,1,405,19,19.426056338028168
829730,19,136,19,19.426056338028168
829732,2,350,12,19.426056338028168
829734,14,35,26,19.426056338028168
829736,6,404,18,19.426056338028168
829738,13,374,19,19.426056338028168
829740,18,370,17,19.426056338028168
829742,13,194,24,19.426056338028168
829744,19,315,20,19.426056338028168
829748,12,67,15,19.426056338028168
829750,3,364,19,19.426056338028168
829752,12,221,20,19.426056338028168
829754,14,32,16,19.426056338028168
829756,4,50,18,19.426056338028168
829758,3,392,22,19.426056338028168
829762,2,404,14,19.426056338028168
829764,5,367,16,19.426056338028168
829766,20,15,18,19.426056338028168
829770,4,232,15,19.426056338028168
829772,2,406,19,19.426056338028168
829774,18,32,20,19.426056338028168
829776,2,232,18,19.426056338028168
829778,3,364,22,19.426056338028168
829780,5,357,18,19.426056338028168
829782,17,459,19,19.426056338028168
829784,9,140,15,19.426056338028168
829786,18,192,21,19.426056338028168
829788,18,403,16,19.426056338028168
829790,3,367,24,19.426056338028168
829792,19,14,22,19.426056338028168
829794,19,322,25,19.426056338028168
829796,14,374,24,19.426056338028168
829798,16,14,22,19.426056338028168
829800,17,375,25,19.426056338028168
829802,19,310,17,19.426056338028168
829804,20,84,22,19.426056338028168
829806,7,359,20,19.426056338028168
829808,2,270,20,19.426056338028168
829810,17,232,18,19.426056338028168
829812,2,299,24,19.426056338028168
829814,17,395,17,19.426056338028168
829816,19,310,20,19.426056338028168
829820,12,166,22,19.426056338028168
829822,2,403,17,19.426056338028168
829824,15,314,19,19.426056338028168
829826,14,21,19,19.426056338028168
829828,17,73,23,19.426056338028168
980906,6,375,20,19.426056338028168
980908,2,15,16,19.426056338028168
980910,8,409,15,19.426056338028168
980912,19,299,28,19.426056338028168
980914,11,398,18,19.426056338028168
980916,6,418,20,19.426056338028168
980918,12,357,17,19.426056338028168
980920,11,166,14,19.426056338028168
980922,19,310,17,19.426056338028168
980924,11,280,15,19.426056338028168
980926,16,15,21,19.426056338028168
980928,14,228,26,19.426056338028168
980930,20,334,18,19.426056338028168
980932,5,296,19,19.426056338028168
980934,4,14,18,19.426056338028168
980936,18,311,25,19.426056338028168
980938,3,322,19,19.426056338028168
980940,3,367,18,19.426056338028168
980942,6,363,25,19.426056338028168
980944,17,314,17,19.426056338028168
980946,16,412,16,19.426056338028168
980948,7,228,17,19.426056338028168
980950,17,147,21,19.426056338028168
980952,16,209,23,19.426056338028168
980954,3,109,24,19.426056338028168
980956,10,408,22,19.426056338028168
980958,14,163,19,19.426056338028168
980960,5,35,17,19.426056338028168
980962,7,413,20,19.426056338028168
980964,17,32,24,19.426056338028168
980966,9,21,16,19.426056338028168
980968,12,316,17,19.426056338028168
980970,18,347,20,19.426056338028168
980972,2,116,16,19.426056338028168
980974,14,280,20,19.426056338028168
980976,14,409,17,19.426056338028168
980978,15,221,14,19.426056338028168
980980,7,190,17,19.426056338028168
980982,4,409,20,19.426056338028168
980984,18,299,15,19.426056338028168
980986,18,221,23,19.426056338028168
980988,5,425,17,19.426056338028168
980990,15,422,17,19.426056338028168
980992,18,71,30,19.426056338028168
980994,3,201,22,19.426056338028168
980996,18,364,19,19.426056338028168
980998,13,386,23,19.426056338028168
981000,3,334,17,19.426056338028168
981002,20,280,22,19.426056338028168
981004,7,422,19,19.426056338028168
981006,7,344,16,19.426056338028168
981008,4,371,15,19.426056338028168
981010,20,374,23,19.426056338028168
981012,6,375,19,19.426056338028168
981014,14,166,19,19.426056338028168
981016,8,382,14,19.426056338028168
981018,19,32,21,19.426056338028168
981020,16,391,15,19.426056338028168
981022,15,147,19,19.426056338028168
981024,20,32,24,19.426056338028168
