component,component_name,stock_difference
10354,HPC NF,-899.6950587249908
10038,Nicotine Polacrilex USP (Nicotine 20%),-949.4084
10307,Sodium Starch Glycolate NF,-974.2071428571835
10355,Xanthan Gum NF,-1071.6108400000003
10763,Paraffin NF,-1135.8407574539815
10078,Corn Starch NF,-1267.5185401791678
10713,Buspirone HCl USP,-1407.674
10035,Baclofen USP,-1569.1703571428593
10243,Crospovidone NF/EP,-1713.740995
10115,Croscarmellose Sodium NF/EP,-1828.9984310000002
10052,Amantadine HCl USP,-2034.1396777272732
10880,Desvenlafaxine Suc USP Monohydrate,-2643.6584144160734
10742,Polyethylene Glycol NF,-3311.0838338449103
10350,Povidone USP-NF,-3505.532353333336
10295,HPMC USP-NF,-5860.81693604463
10135,HPC NF/EP,-6017.196712805562
10484,Croscarmellose Sodium NF,-8081.8115685485245
10077,Colloidal Silicon Dioxide NF,-8472.31186275178
10641,Polyvinyl Acetate NF,-12455.117591578419
10482,Isopropyl Alcohol USP-NF,-17996.51708644061
10478,Pregelatinized Starch NF,-18378.916481940592
10379,Mannitol USP-NF,-23781.848329599998
10379,IMP-Diaveridine,-23781.848329599998
10711,Carbidopa USP,-26703.436212500004
10079,Sodium Starch Glycolate NF,-32678.033225435152
10479,Magnesium Stearate NF,-66238.31789224854
10483,Lactose Monohydrate NF,-78847.83911378296
10313,Anh. Lactose NF,-81443.11312063632
10712,Levodopa USP,-105337.83225000008
10490,Microcrystalline Cellulose NF,-115221.7795203536
10397,ADF RollerKit for HP LJ MFP M630 Printer,-149870.68760349276
10397,Lactose Monohydrate NF,-149870.68760349276
10074,Potassium Chl USP (40-200# CS),-221570.16655616724
10477,Microcrystalline Cellulose NF,-856943.2884645172
