prod_family,forecast_month,avg_doh
Bisoprolol Fumarate,2025-01-01 00:00:00,13.75
Dihydroergotamine Spray,2025-01-01 00:00:00,1.00
Buspirone HCl,2025-01-01 00:00:00,16.45
Rabeprazole Sodium,2025-01-01 00:00:00,11.50
Amiodarone HCl,2025-01-01 00:00:00,7.50
Isosorbide DN,2025-01-01 00:00:00,7.43
Pregabalin tab ER,2025-01-01 00:00:00,12.00
Nitroglycerine,2025-01-01 00:00:00,15.67
Diclofenac Sodium Tab,2025-01-01 00:00:00,223.67
Carvedilol,2025-01-01 00:00:00,11.67
Cyclobenzaprine HCl,2025-01-01 00:00:00,14.43
Mycophenolae Sodium DR Tab,2025-01-01 00:00:00,26.50
Primidone,2025-01-01 00:00:00,33.75
Clonazepam Tab,2025-01-01 00:00:00,16.50
Nortriptyline HCL Oral Solution,2025-01-01 00:00:00,15.00
Dicyclomine HCl Tab,2025-01-01 00:00:00,504.50
Tizanidine HCl,2025-01-01 00:00:00,2.33
Potassium Chloride Oral Solution,2025-01-01 00:00:00,4.00
Amantadine HCL,2025-01-01 00:00:00,34.00
Carbidopa and Levdopa ER Tab,2025-01-01 00:00:00,8.50
Metolazone,2025-01-01 00:00:00,10.33
Potassium Chloride Klorcon,2025-01-01 00:00:00,14.00
Mycophenolate Mofetil Tab,2025-01-01 00:00:00,38.50
Sildenafil Citrate,2025-01-01 00:00:00,52.40
Oxybutynin Chloride ER,2025-01-01 00:00:00,6.33
Acyclovir Suspension,2025-01-01 00:00:00,2.00
Oxcarbazepine Suspension,2025-01-01 00:00:00,48.00
Loratadine ODT (OTC),2025-01-01 00:00:00,0.50
Metoprolol Tartrate (Uncoated),2025-01-01 00:00:00,48.14
Tramadol,2025-01-01 00:00:00,25.00
Buprenorphine Sl,2025-01-01 00:00:00,19.50
Baclofeb Oral Solution,2025-01-01 00:00:00,95.00
Bumetanide Tabs,2025-01-01 00:00:00,16.33
Potassium Chloride PFOS,2025-01-01 00:00:00,10.33
Triamterene HCTZ,2025-01-01 00:00:00,23.25
Labetalol,2025-01-01 00:00:00,12.00
Glipizide,2025-01-01 00:00:00,75.17
Diclofenac Potassium,2025-01-01 00:00:00,31.00
Lamotrigine IR,2025-01-01 00:00:00,0.00
Midodrine,2025-01-01 00:00:00,10.67
Haloperidol Oral Solution,2025-01-01 00:00:00,25.50
Guanfacine IR,2025-01-01 00:00:00,61.50
Cevimeline HCL,2025-01-01 00:00:00,39.00
Loperamide Caps,2025-01-01 00:00:00,2.50
Mycophenolate Mofetil Cap,2025-01-01 00:00:00,44.50
Potassium Chloride PFOS,2025-02-01 00:00:00,10.33
Metolazone,2025-02-01 00:00:00,10.33
Lithium Oral Solution,2025-02-01 00:00:00,3.00
Loratadine ODT (OTC),2025-02-01 00:00:00,0.50
Baclofeb Oral Solution,2025-02-01 00:00:00,95.00
Haloperidol Oral Solution,2025-02-01 00:00:00,25.50
Tranexamic Acid Tab,2025-02-01 00:00:00,7.00
Acyclovir Suspension,2025-02-01 00:00:00,2.00
Amiodarone HCl,2025-02-01 00:00:00,7.50
Mycophenolate Mofetil Cap,2025-02-01 00:00:00,44.50
Oxybutynin Chloride ER,2025-02-01 00:00:00,6.33
Buprenorphine Sl,2025-02-01 00:00:00,19.50
Labetalol,2025-02-01 00:00:00,12.00
Buspirone HCl,2025-02-01 00:00:00,16.45
Lidocaine HCL Oral Solution,2025-02-01 00:00:00,15.00
Cevimeline HCL,2025-02-01 00:00:00,39.00
Dihydroergotamine Spray,2025-02-01 00:00:00,1.00
Tizanidine HCl,2025-02-01 00:00:00,2.33
Carbidopa and Levdopa ER Tab,2025-02-01 00:00:00,8.50
Dicyclomine HCl Tab,2025-02-01 00:00:00,504.50
Potassium Chloride ER,2025-02-01 00:00:00,25.80
Triamterene HCTZ,2025-02-01 00:00:00,23.25
Potassium Chloride Klorcon,2025-02-01 00:00:00,14.00
Oxcarbazepine Suspension,2025-02-01 00:00:00,48.00
Baclofen,2025-02-01 00:00:00,12.57
Glipizide,2025-02-01 00:00:00,75.17
Tramadol,2025-02-01 00:00:00,62.83
Nitroglycerine,2025-02-01 00:00:00,15.67
Diclofenac Sodium Tab,2025-02-01 00:00:00,223.67
Metoprolol Tartrate,2025-02-01 00:00:00,20.11
Guanfacine IR,2025-02-01 00:00:00,61.50
Mycophenolate Mofetil Tab,2025-02-01 00:00:00,38.50
Aripiprazole Oral Solution,2025-02-01 00:00:00,57.00
Acetazolamide,2025-02-01 00:00:00,14.50
Primidone,2025-02-01 00:00:00,33.75
Sildenafil Citrate,2025-02-01 00:00:00,52.40
Nortriptyline HCL Oral Solution,2025-02-01 00:00:00,15.00
Bisoprolol Fumarate,2025-02-01 00:00:00,13.75
Amitriptyline,2025-02-01 00:00:00,19.22
Diclofenac Potassium,2025-02-01 00:00:00,31.00
Amantadine HCL,2025-02-01 00:00:00,34.00
Bumetanide Tabs,2025-02-01 00:00:00,16.33
Potassium Chloride Oral Solution,2025-02-01 00:00:00,4.00
Carvedilol,2025-02-01 00:00:00,11.67
Cyclobenzaprine HCl,2025-02-01 00:00:00,14.43
Lamotrigine IR,2025-02-01 00:00:00,0.00
Carbidopa and Levdopa Tab,2025-02-01 00:00:00,34.00
Gabapentin Oral Solution,2025-02-01 00:00:00,22.00
Clonazepam Tab,2025-02-01 00:00:00,16.50
Mycophenolae Sodium DR Tab,2025-02-01 00:00:00,26.50
Desvenlaflaxine,2025-02-01 00:00:00,13.80
Metoprolol Tartrate (Uncoated),2025-02-01 00:00:00,48.14
Pregabalin tab ER,2025-02-01 00:00:00,12.00
Midodrine,2025-02-01 00:00:00,10.67
Loperamide Caps,2025-02-01 00:00:00,2.50
Rabeprazole Sodium,2025-02-01 00:00:00,11.50
Isosorbide DN,2025-02-01 00:00:00,7.43
Acetazolamide,2025-03-01 00:00:00,14.50
Lamotrigine IR,2025-03-01 00:00:00,0.00
Potassium Chloride ER,2025-03-01 00:00:00,2226.50
Tranexamic Acid Tab,2025-03-01 00:00:00,7.00
Metoprolol Tartrate,2025-03-01 00:00:00,20.11
Dicyclomine HCl Tab,2025-03-01 00:00:00,504.50
Oxcarbazepine Suspension,2025-03-01 00:00:00,48.00
Loperamide Caps,2025-03-01 00:00:00,2.50
Labetalol,2025-03-01 00:00:00,12.00
Potassium Chloride PFOS,2025-03-01 00:00:00,10.33
Isosorbide DN,2025-03-01 00:00:00,27.00
Glipizide,2025-03-01 00:00:00,75.17
Loratadine ODT (OTC),2025-03-01 00:00:00,0.50
Gabapentin Tab,2025-03-01 00:00:00,0.00
Desvenlaflaxine,2025-03-01 00:00:00,13.80
Tizanidine HCl,2025-03-01 00:00:00,2.33
Diclofenac Sodium Tab,2025-03-01 00:00:00,208.75
Baclofeb Oral Solution,2025-03-01 00:00:00,95.00
Amitriptyline,2025-03-01 00:00:00,19.22
Metoprolol Tartrate (Uncoated),2025-03-01 00:00:00,48.14
Cyclobenzaprine HCl,2025-03-01 00:00:00,14.43
Acyclovir Suspension,2025-03-01 00:00:00,2.00
Buprenorphine Sl,2025-03-01 00:00:00,19.50
Diclofenac Potassium,2025-03-01 00:00:00,31.00
Amiodarone HCl,2025-03-01 00:00:00,7.50
Clonazepam Tab,2025-03-01 00:00:00,16.50
Amantadine HCL,2025-03-01 00:00:00,34.00
Nortriptyline HCL Oral Solution,2025-03-01 00:00:00,15.00
Mycophenolate Mofetil Cap,2025-03-01 00:00:00,44.50
Ipratropium Bro. Nasal Spray,2025-03-01 00:00:00,4.00
Dihydroergotamine Spray,2025-03-01 00:00:00,1.00
Cevimeline HCL,2025-03-01 00:00:00,39.00
Venlafaxin HCl ER Cap,2025-03-01 00:00:00,0.00
Lidocaine HCL Oral Solution,2025-03-01 00:00:00,15.00
Carvedilol,2025-03-01 00:00:00,11.67
Nitroglycerine,2025-03-01 00:00:00,15.67
Bumetanide Tabs,2025-03-01 00:00:00,16.33
Baclofen,2025-03-01 00:00:00,12.57
Mycophenolate Mofetil Tab,2025-03-01 00:00:00,38.50
Carbidopa and Levdopa Tab,2025-03-01 00:00:00,514.11
Metolazone,2025-03-01 00:00:00,10.33
Carbidopa and Levdopa ER Tab,2025-03-01 00:00:00,5.67
Guanfacine IR,2025-03-01 00:00:00,61.50
Midodrine,2025-03-01 00:00:00,10.67
Haloperidol Oral Solution,2025-03-01 00:00:00,25.50
Buspirone HCl,2025-03-01 00:00:00,16.45
Pregabalin tab ER,2025-03-01 00:00:00,12.00
Rabeprazole Sodium,2025-03-01 00:00:00,11.50
Potassium Chloride Oral Solution,2025-03-01 00:00:00,4.00
Potassium Chloride Klorcon,2025-03-01 00:00:00,14.00
Oxybutynin Chloride ER,2025-03-01 00:00:00,6.33
Ivermectin Tab,2025-03-01 00:00:00,104355.00
Primidone,2025-03-01 00:00:00,33.75
Tramadol,2025-03-01 00:00:00,62.83
Lithium Oral Solution,2025-03-01 00:00:00,3.00
Bisoprolol Fumarate,2025-03-01 00:00:00,13.75
Sildenafil Citrate,2025-03-01 00:00:00,52.40
Gabapentin Oral Solution,2025-03-01 00:00:00,22.00
Mycophenolae Sodium DR Tab,2025-03-01 00:00:00,26.50
Triamterene HCTZ,2025-03-01 00:00:00,23.25
Aripiprazole Oral Solution,2025-03-01 00:00:00,57.00
Clonazepam Tab,2025-04-01 00:00:00,16.50
Potassium Chloride Oral Solution,2025-04-01 00:00:00,4.00
Labetalol,2025-04-01 00:00:00,12.00
Buprenorphine Sl,2025-04-01 00:00:00,19.50
Metolazone,2025-04-01 00:00:00,10.33
Mycophenolate Mofetil Cap,2025-04-01 00:00:00,44.50
Metoprolol Tartrate,2025-04-01 00:00:00,20.11
Gabapentin Tab,2025-04-01 00:00:00,0.00
Tranexamic Acid Tab,2025-04-01 00:00:00,7.00
Amiodarone HCl,2025-04-01 00:00:00,7.50
Gabapentin Oral Solution,2025-04-01 00:00:00,22.00
Diclofenac Sodium Tab,2025-04-01 00:00:00,238.57
Dicyclomine HCl Tab,2025-04-01 00:00:00,504.50
Carbidopa and Levdopa Tab,2025-04-01 00:00:00,514.11
Diclofenac Potassium,2025-04-01 00:00:00,31.00
Aripiprazole Oral Solution,2025-04-01 00:00:00,57.00
Ivermectin Tab,2025-04-01 00:00:00,52583.50
Nitroglycerine,2025-04-01 00:00:00,15.67
Rabeprazole Sodium,2025-04-01 00:00:00,11.50
Acyclovir Suspension,2025-04-01 00:00:00,2.00
Mycophenolae Sodium DR Tab,2025-04-01 00:00:00,26.50
Amitriptyline,2025-04-01 00:00:00,19.22
Midodrine,2025-04-01 00:00:00,10.67
Ipratropium Bro. Nasal Spray,2025-04-01 00:00:00,2.00
Cevimeline HCL,2025-04-01 00:00:00,39.00
Metoprolol Tartrate (Uncoated),2025-04-01 00:00:00,48.14
Baclofeb Oral Solution,2025-04-01 00:00:00,95.00
Lamotrigine IR,2025-04-01 00:00:00,0.00
Carbidopa and Levdopa ER Tab,2025-04-01 00:00:00,4.25
Cyclobenzaprine HCl,2025-04-01 00:00:00,14.43
Triamterene HCTZ,2025-04-01 00:00:00,23.25
Lithium Oral Solution,2025-04-01 00:00:00,3.00
Dihydroergotamine Spray,2025-04-01 00:00:00,1.00
Desvenlaflaxine,2025-04-01 00:00:00,13.80
Acetazolamide,2025-04-01 00:00:00,14.50
Loratadine ODT (OTC),2025-04-01 00:00:00,0.50
Tizanidine HCl,2025-04-01 00:00:00,2.33
Glipizide,2025-04-01 00:00:00,75.17
Baclofen,2025-04-01 00:00:00,12.57
Potassium Chloride ER,2025-04-01 00:00:00,2226.50
Tramadol,2025-04-01 00:00:00,62.83
Amantadine HCL,2025-04-01 00:00:00,34.00
Buspirone HCl,2025-04-01 00:00:00,16.45
Bumetanide Tabs,2025-04-01 00:00:00,16.33
Oxcarbazepine Suspension,2025-04-01 00:00:00,48.00
Loperamide Caps,2025-04-01 00:00:00,2.50
Carvedilol,2025-04-01 00:00:00,11.67
Dorzolamide Opthal Sol,2025-04-01 00:00:00,182.00
Oxybutynin Chloride ER,2025-04-01 00:00:00,6.33
Haloperidol Oral Solution,2025-04-01 00:00:00,25.50
Isosorbide DN,2025-04-01 00:00:00,6.50
Primidone,2025-04-01 00:00:00,33.75
Venlafaxin HCl ER Cap,2025-04-01 00:00:00,0.00
Potassium Chloride Klorcon,2025-04-01 00:00:00,14.00
Guanfacine IR,2025-04-01 00:00:00,61.50
Potassium Chloride PFOS,2025-04-01 00:00:00,10.33
Mycophenolate Mofetil Tab,2025-04-01 00:00:00,38.50
Lidocaine HCL Oral Solution,2025-04-01 00:00:00,15.00
Nortriptyline HCL Oral Solution,2025-04-01 00:00:00,15.00
Pregabalin tab ER,2025-04-01 00:00:00,12.00
Bisoprolol Fumarate,2025-04-01 00:00:00,13.75
Sildenafil Citrate,2025-04-01 00:00:00,52.40
Amiodarone HCl,2025-05-01 00:00:00,7.50
Potassium Chloride Klorcon,2025-05-01 00:00:00,14.00
Aripiprazole Oral Solution,2025-05-01 00:00:00,57.00
Dorzolamide Opthal Sol,2025-05-01 00:00:00,182.00
Metolazone,2025-05-01 00:00:00,10.33
Oxcarbazepine Suspension,2025-05-01 00:00:00,48.00
Metoprolol Tartrate (Uncoated),2025-05-01 00:00:00,48.14
Labetalol,2025-05-01 00:00:00,12.00
Lidocaine HCL Oral Solution,2025-05-01 00:00:00,15.00
Mycophenolate Mofetil Cap,2025-05-01 00:00:00,44.50
Bumetanide Tabs,2025-05-01 00:00:00,16.33
Diclofenac Sodium Tab,2025-05-01 00:00:00,238.57
Oxybutynin Chloride ER,2025-05-01 00:00:00,6.33
Amitriptyline,2025-05-01 00:00:00,19.22
Buspirone HCl,2025-05-01 00:00:00,16.45
Amantadine HCL,2025-05-01 00:00:00,34.00
Lithium Oral Solution,2025-05-01 00:00:00,3.00
Carbidopa and Levdopa ER Tab,2025-05-01 00:00:00,8.50
Diclofenac Potassium,2025-05-01 00:00:00,31.00
Dicyclomine HCl Tab,2025-05-01 00:00:00,504.50
Rabeprazole Sodium,2025-05-01 00:00:00,11.50
Acetazolamide,2025-05-01 00:00:00,14.50
Ivermectin Tab,2025-05-01 00:00:00,52583.50
Tramadol,2025-05-01 00:00:00,62.83
Potassium Chloride ER,2025-05-01 00:00:00,25.80
Baclofen,2025-05-01 00:00:00,12.57
Mycophenolate Mofetil Tab,2025-05-01 00:00:00,38.50
Dihydroergotamine Spray,2025-05-01 00:00:00,1.00
Sildenafil Citrate,2025-05-01 00:00:00,52.40
Cyclobenzaprine HCl,2025-05-01 00:00:00,14.43
Carbidopa and Levdopa Tab,2025-05-01 00:00:00,514.11
Haloperidol Oral Solution,2025-05-01 00:00:00,25.50
Isosorbide DN,2025-05-01 00:00:00,30.38
Gabapentin Oral Solution,2025-05-01 00:00:00,22.00
Metoprolol Tartrate,2025-05-01 00:00:00,22.63
Lamotrigine IR,2025-05-01 00:00:00,0.00
Potassium Chloride PFOS,2025-05-01 00:00:00,10.33
Nortriptyline HCL Oral Solution,2025-05-01 00:00:00,15.00
Loratadine ODT (OTC),2025-05-01 00:00:00,0.50
Gabapentin Tab,2025-05-01 00:00:00,0.00
Glipizide,2025-05-01 00:00:00,75.17
Ipratropium Bro. Nasal Spray,2025-05-01 00:00:00,2.00
Desvenlaflaxine,2025-05-01 00:00:00,13.80
Mycophenolae Sodium DR Tab,2025-05-01 00:00:00,26.50
Guanfacine IR,2025-05-01 00:00:00,61.50
Pregabalin tab ER,2025-05-01 00:00:00,12.00
Bisoprolol Fumarate,2025-05-01 00:00:00,17.33
Clonazepam Tab,2025-05-01 00:00:00,16.50
Nitroglycerine,2025-05-01 00:00:00,15.67
Loperamide Caps,2025-05-01 00:00:00,2.50
Carvedilol,2025-05-01 00:00:00,11.67
Acyclovir Suspension,2025-05-01 00:00:00,2.00
Potassium Chloride Oral Solution,2025-05-01 00:00:00,4.00
Primidone,2025-05-01 00:00:00,33.75
Triamterene HCTZ,2025-05-01 00:00:00,23.25
Tizanidine HCl,2025-05-01 00:00:00,2.33
Cevimeline HCL,2025-05-01 00:00:00,39.00
Buprenorphine Sl,2025-05-01 00:00:00,19.50
Tranexamic Acid Tab,2025-05-01 00:00:00,7.00
Midodrine,2025-05-01 00:00:00,10.67
Baclofeb Oral Solution,2025-05-01 00:00:00,95.00
Mycophenolae Sodium DR Tab,2025-06-01 00:00:00,26.50
Ivermectin Tab,2025-06-01 00:00:00,52583.50
Aripiprazole Oral Solution,2025-06-01 00:00:00,57.00
Carvedilol,2025-06-01 00:00:00,11.67
Acetazolamide,2025-06-01 00:00:00,14.50
Tramadol,2025-06-01 00:00:00,62.83
Gabapentin Oral Solution,2025-06-01 00:00:00,22.00
Bisoprolol Fumarate,2025-06-01 00:00:00,17.33
Midodrine,2025-06-01 00:00:00,10.67
Diclofenac Sodium Tab,2025-06-01 00:00:00,238.57
Buspirone HCl,2025-06-01 00:00:00,16.45
Acyclovir Suspension,2025-06-01 00:00:00,2.00
Triamterene HCTZ,2025-06-01 00:00:00,23.25
Pregabalin tab ER,2025-06-01 00:00:00,12.00
Amantadine HCL,2025-06-01 00:00:00,34.00
Tizanidine HCl,2025-06-01 00:00:00,2.33
Potassium Chloride PFOS,2025-06-01 00:00:00,10.33
Metolazone,2025-06-01 00:00:00,10.33
Glipizide,2025-06-01 00:00:00,75.17
Nitroglycerine,2025-06-01 00:00:00,15.67
Cyclobenzaprine HCl,2025-06-01 00:00:00,14.43
Carbidopa and Levdopa ER Tab,2025-06-01 00:00:00,8.50
Primidone,2025-06-01 00:00:00,33.75
Loperamide Caps,2025-06-01 00:00:00,2.50
Labetalol,2025-06-01 00:00:00,12.00
Baclofen,2025-06-01 00:00:00,12.57
Ipratropium Bro. Nasal Spray,2025-06-01 00:00:00,2.00
Dicyclomine HCl Tab,2025-06-01 00:00:00,504.50
Potassium Chloride Oral Solution,2025-06-01 00:00:00,4.00
Amiodarone HCl,2025-06-01 00:00:00,7.50
Loratadine ODT (OTC),2025-06-01 00:00:00,0.50
Dihydroergotamine Spray,2025-06-01 00:00:00,1.00
Rabeprazole Sodium,2025-06-01 00:00:00,11.50
Bumetanide Tabs,2025-06-01 00:00:00,16.33
Oxcarbazepine Suspension,2025-06-01 00:00:00,48.00
Lithium Oral Solution,2025-06-01 00:00:00,3.00
Clonazepam Tab,2025-06-01 00:00:00,16.50
Isosorbide DN,2025-06-01 00:00:00,7.43
Lidocaine HCL Oral Solution,2025-06-01 00:00:00,15.00
Haloperidol Oral Solution,2025-06-01 00:00:00,25.50
Nortriptyline HCL Oral Solution,2025-06-01 00:00:00,15.00
Carbidopa and Levdopa Tab,2025-06-01 00:00:00,892.00
Fluticasone Nasal Spray,2025-06-01 00:00:00,
Tranexamic Acid Tab,2025-06-01 00:00:00,7.00
Diclofenac Potassium,2025-06-01 00:00:00,31.00
Amitriptyline,2025-06-01 00:00:00,19.22
Metoprolol Tartrate,2025-06-01 00:00:00,36.25
Potassium Chloride Klorcon,2025-06-01 00:00:00,14.00
Desvenlaflaxine,2025-06-01 00:00:00,13.80
Cevimeline HCL,2025-06-01 00:00:00,39.00
Sildenafil Citrate,2025-06-01 00:00:00,52.40
Metoprolol Tartrate (Uncoated),2025-06-01 00:00:00,48.14
Baclofeb Oral Solution,2025-06-01 00:00:00,95.00
Dorzolamide Opthal Sol,2025-06-01 00:00:00,182.00
Potassium Chloride ER,2025-06-01 00:00:00,2226.50
Guanfacine IR,2025-06-01 00:00:00,61.50
Mycophenolate Mofetil Cap,2025-06-01 00:00:00,44.50
Oxybutynin Chloride ER,2025-06-01 00:00:00,6.33
Mycophenolate Mofetil Tab,2025-06-01 00:00:00,38.50
Buprenorphine Sl,2025-06-01 00:00:00,19.50
