material_desc,avg_otif,total_orders
Rojtybix,69.27,1494
Dexalin,71.90,1562
Ludaran,72.00,1
Wexatrol,73.30,589
Gryptal,74.37,1689
Isadryl,75.17,750
Vaproxin,77.86,1828
Pylotrex,79.59,498
Dylorex,80.07,1076
Qorvalex,80.45,1037
Kynarel,80.86,1547
Pelynax,88.16,369
Embatrix,88.61,510
Xandorin,91.48,2119
Dendoril,91.57,65
Cylorin,92.82,1903
Rivotal,94.33,320
Ylvarin,94.70,1153
Isytron,100.64,1443
Grovanil,101.29,547
Quendral,106.18,2457
Brysteril,109.30,2571
Qynarix,111.44,1593
Nylovex,111.79,642
Zorapil,114.00,16
Irvorin,115.89,1604
Juvetra,119.18,1693
Brevotan,119.65,6206
Pultronex,122.44,1298
Montril,125.57,552
Epivanil,126.98,86
Lunaret,131.00,1188
Nikdoer,139.61,837
Yenotil,167.15,605
Zeranal,177.52,1751
Synaprex,190.71,1662
Xonarex,195.91,86
Acrinor,205.91,138
Pelyxin,211.26,463
Brotalin,221.31,1316
Esolan,234.76,1992
Ijodoer,253.50,16
Ventoran,262.24,558
Zentaril,405.54,39
Jeralex,521.85,1179
Oxaltex,588.00,28
Ritomex,750.13,979
Hudeod,815.67,1162
Litranil,827.48,23
Jolumet,1298.53,57
Praxiven,2302.59,51
Belotim,2959.11,54
