material,prod_desc,demand_3m,shipped_3m
40147,Oxybutynin Cl ER Tab USP 15mg 100,18926,0
40151,Diclofenac Sod DR Tab USP 25mg 100,54695,0
40151,Diclofenac Sod DR Tab USP 25mg 100,2137,0
40151,Diclofenac Sod DR Tab USP 25mg 100,4390,0
40153,Diclofenac Sod DR Tab USP 50 mg 100,45809,0
40153,Diclofenac Sod DR Tab USP 50 mg 100,2137,0
40153,Diclofenac Sod DR Tab USP 50 mg 100,4273,0
40155,Diclofenac Sod DR Tab USP 75mg 60,633,0
40155,Diclofenac Sod DR Tab USP 75mg 60,684,0
40155,Diclofenac Sod DR Tab USP 75mg 60,196,0
40155,Diclofenac Sod DR Tab USP 75mg 60,392,0
40155,Diclofenac Sod DR Tab USP 75mg 60,588,0
40155,Diclofenac Sod DR Tab USP 75mg 60,586,0
40155,Diclofenac Sod DR Tab USP 75mg 60,584,0
40155,Diclofenac Sod DR Tab USP 75mg 60,582,0
40156,Diclofenac Sod DR Tab USP 75mg 100,84987,0
40156,Diclofenac Sod DR Tab USP 75mg 100,950,0
40156,Diclofenac Sod DR Tab USP 75mg 100,1304,0
40157,Diclofenac Sod DR Tab USP 75mg 1000,10256,0
40157,Diclofenac Sod DR Tab USP 75mg 1000,3490,0
40157,Diclofenac Sod DR Tab USP 75mg 1000,6805,0
40161,Tizanidine HCl Cap 2mg 150,13536,0
40161,Tizanidine HCl Cap 2mg 150,846,0
40161,Tizanidine HCl Cap 2mg 150,1780,0
40162,Tizanidine HCl Cap 4mg 150,20678,0
40162,Tizanidine HCl Cap 4mg 150,1059,0
40162,Tizanidine HCl Cap 4mg 150,3131,0
40163,Tizanidine HCl Cap 6mg 150,13169,0
40163,Tizanidine HCl Cap 6mg 150,933,0
40163,Tizanidine HCl Cap 6mg 150,1866,0
40208,Potassium Chl ER Tab USP 10mEq 100 AB3,6643,0
40208,Potassium Chl ER Tab USP 10mEq 100 AB3,5249,0
40208,Potassium Chl ER Tab USP 10mEq 100 AB3,10497,0
40212,Bumetanide tab usp 0.5mg 100,5258,0
40212,Bumetanide tab usp 0.5mg 100,48,0
40212,Bumetanide tab usp 0.5mg 100,96,0
40213,Bumetanide tab usp 1mg 100,120,0
40213,Bumetanide tab usp 1mg 100,240,0
40214,Bumetanide tab usp 2mg 100,120,0
40214,Bumetanide tab usp 2mg 100,240,0
40215,Isosorbide Dinitrate Tab USP 30mg 100,106522,0
40215,Isosorbide Dinitrate Tab USP 30mg 100,8443,0
40215,Isosorbide Dinitrate Tab USP 30mg 100,17016,0
40217,Potassium Chl Ora sol 20mEq 30,85332,0
40217,Potassium Chl Ora sol 20mEq 30,13122,0
40217,Potassium Chl Ora sol 20mEq 30,27222,0
40218,Potassium Chl Ora sol 20mEq 100,15150,0
40218,Potassium Chl Ora sol 20mEq 100,2500,0
40218,Potassium Chl Ora sol 20mEq 100,5013,0
40224,Loratadine OD Tab USP 10mg 3x10,4000,0
40224,Loratadine OD Tab USP 10mg 3x10,3803,0
40224,Loratadine OD Tab USP 10mg 3x10,1696,0
40224,Loratadine OD Tab USP 10mg 3x10,3444,0
40225,Loratadine OD Tab USP 10mg 1x10,11163,0
40225,Loratadine OD Tab USP 10mg 1x10,8667,0
40225,Loratadine OD Tab USP 10mg 1x10,4554,0
40225,Loratadine OD Tab USP 10mg 1x10,9036,0
40292,Amiodarone HCl Tab USP 100mg 30,49451,0
40292,Amiodarone HCl Tab USP 100mg 30,15687,0
40292,Amiodarone HCl Tab USP 100mg 30,30695,0
40293,Amiodarone HCl Tab USP 400mg 30,26516,0
40293,Amiodarone HCl Tab USP 400mg 30,11861,0
40293,Amiodarone HCl Tab USP 400mg 30,23859,0
40294,Amiodarone HCl Tab USP 200mg 60,79219,0
40294,Amiodarone HCl Tab USP 200mg 60,55112,0
40294,Amiodarone HCl Tab USP 200mg 60,110557,0
40295,Amiodarone HCl Tab USP 200mg 500,24005,0
40295,Amiodarone HCl Tab USP 200mg 500,3284,0
40295,Amiodarone HCl Tab USP 200mg 500,6145,0
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,195286,0
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,191202,0
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,383292,0
40307,Buspirone HCl Tab USP 5mg 100,105915,0
40307,Buspirone HCl Tab USP 5mg 100,105699,0
40307,Buspirone HCl Tab USP 5mg 100,211399,0
40308,Buspirone HCl Tab USP 5mg 500,9026,0
40308,Buspirone HCl Tab USP 5mg 500,5898,0
40308,Buspirone HCl Tab USP 5mg 500,4114,0
40308,Buspirone HCl Tab USP 5mg 500,8235,0
40309,Buspirone HCl Tab USP 10mg 100,156374,0
40309,Buspirone HCl Tab USP 10mg 100,143966,0
40309,Buspirone HCl Tab USP 10mg 100,287932,0
40310,Buspirone HCl Tab USP 10mg 500,25014,0
40310,Buspirone HCl Tab USP 10mg 500,6462,0
40310,Buspirone HCl Tab USP 10mg 500,12947,0
40311,Buspirone HCl Tab USP 15mg 60,17376,0
40311,Buspirone HCl Tab USP 15mg 60,18432,0
40311,Buspirone HCl Tab USP 15mg 60,29072,0
40312,Buspirone HCl Tab USP 15mg 100,97480,0
40312,Buspirone HCl Tab USP 15mg 100,106802,0
40312,Buspirone HCl Tab USP 15mg 100,213605,0
40313,Buspirone HCl Tab USP 15mg 500,7891,0
40313,Buspirone HCl Tab USP 15mg 500,4464,0
40313,Buspirone HCl Tab USP 15mg 500,3773,0
40313,Buspirone HCl Tab USP 15mg 500,7545,0
40314,Buspirone HCl Tab USP 7.5mg 100,62723,0
40314,Buspirone HCl Tab USP 7.5mg 100,15791,0
40314,Buspirone HCl Tab USP 7.5mg 100,31583,0
40315,Buspirone HCl Tab USP 7.5mg 500,5578,0
40315,Buspirone HCl Tab USP 7.5mg 500,646,0
40315,Buspirone HCl Tab USP 7.5mg 500,1321,0
40316,Buspirone HCl Tab USP 30mg 60,95359,0
40316,Buspirone HCl Tab USP 30mg 60,55522,0
40316,Buspirone HCl Tab USP 30mg 60,111961,0
40317,Buspirone HCl Tab USP 30mg 500,6907,0
40317,Buspirone HCl Tab USP 30mg 500,695,0
40317,Buspirone HCl Tab USP 30mg 500,1397,0
40332,Diclofenac Pot Tab USP 25mg 30,11322,0
40332,Diclofenac Pot Tab USP 25mg 30,2664,0
40332,Diclofenac Pot Tab USP 25mg 30,5412,0
40335,Diclofenac Pot Tab USP 50mg 100,46804,0
40335,Diclofenac Pot Tab USP 50mg 100,33115,0
40335,Diclofenac Pot Tab USP 50mg 100,64997,0
40440,Isosorbide Dinitrate Tab USP 5mg 100,33536,0
40440,Isosorbide Dinitrate Tab USP 5mg 100,7089,0
40440,Isosorbide Dinitrate Tab USP 5mg 100,14062,0
40442,Isosorbide Dinitrate Tab USP 10mg 100,37261,0
40442,Isosorbide Dinitrate Tab USP 10mg 100,19170,0
40442,Isosorbide Dinitrate Tab USP 10mg 100,38397,0
40443,Isosorbide Dinitrate Tab USP 10mg 1000,14139,0
40443,Isosorbide Dinitrate Tab USP 10mg 1000,145,0
40443,Isosorbide Dinitrate Tab USP 10mg 1000,291,0
40444,Isosorbide Dinitrate Tab USP 20mg 100,35794,0
40444,Isosorbide Dinitrate Tab USP 20mg 100,20409,0
40444,Isosorbide Dinitrate Tab USP 20mg 100,40842,0
40445,Isosorbide Dinitrate Tab USP 20mg 1000,10827,0
40445,Isosorbide Dinitrate Tab USP 20mg 1000,21118,0
40445,Isosorbide Dinitrate Tab USP 20mg 1000,129,0
40445,Isosorbide Dinitrate Tab USP 20mg 1000,259,0
40446,Isosorbide Dinitrate Tab USP 40mg 100,15090,0
40446,Isosorbide Dinitrate Tab USP 40mg 100,1920,0
40446,Isosorbide Dinitrate Tab USP 40mg 100,3802,0
40452,Potassium Chl ER Tab USP 20mEq 500 AB3,6820,0
40452,Potassium Chl ER Tab USP 20mEq 500 AB3,3216,0
40452,Potassium Chl ER Tab USP 20mEq 500 AB3,6422,0
40453,Potassium Chl ER Tab USP 10mEq 1000 AB3,11149,0
40453,Potassium Chl ER Tab USP 10mEq 1000 AB3,1216,0
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,37810,0
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,10157,0
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,19138,0
40463,Triamterene & HCTZ Tab USP 75/50mg 100,36630,0
40463,Triamterene & HCTZ Tab USP 75/50mg 100,5193,0
40463,Triamterene & HCTZ Tab USP 75/50mg 100,10256,0
40472,Carbi + Levo ER Tab USP 25/100mg 100,84255,0
40472,Carbi + Levo ER Tab USP 25/100mg 100,684,0
40472,Carbi + Levo ER Tab USP 25/100mg 100,7270,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,53590,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,52690,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,4,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,6080,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,12157,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,20350,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,29021,0
40475,Carbi + Levo ER Tab USP 50/200mg 100,49970,0
40486,Carbi + Levo tab USP 25/250mg 1000,363,0
40486,Carbi + Levo tab USP 25/250mg 1000,390,0
40486,Carbi + Levo tab USP 25/250mg 1000,104,0
40486,Carbi + Levo tab USP 25/250mg 1000,208,0
40488,Carbi + Levo tab USP 10/100mg 100,17654,0
40488,Carbi + Levo tab USP 10/100mg 100,1255,0
40488,Carbi + Levo tab USP 10/100mg 100,2449,0
40489,Carbi + Levo tab USP 10/100mg 1000,82,0
40491,Carbi + Levo tab USP 25/100mg 100,700,0
40491,Carbi + Levo tab USP 25/100mg 100,1400,0
40492,Carbi + Levo tab USP 25/100mg 1000,51800,0
40492,Carbi + Levo tab USP 25/100mg 1000,4240,0
40492,Carbi + Levo tab USP 25/100mg 1000,8480,0
40497,Tramadol HCL Tab USP 25mg 30,28974,0
40497,Tramadol HCL Tab USP 25mg 30,17137,0
40497,Tramadol HCL Tab USP 25mg 30,34464,0
40500,Pot. Chl ER Tab USP 15mEq 100 AB1 KlorCon,3363,0
40500,Pot. Chl ER Tab USP 15mEq 100 AB1 KlorCon,2370,0
40500,Pot. Chl ER Tab USP 15mEq 100 AB1 KlorCon,1420,0
40500,Pot. Chl ER Tab USP 15mEq 100 AB1 KlorCon,2799,0
40509,Dicyclomine HCL Tab USP 20mg 100,8670,0
40509,Dicyclomine HCL Tab USP 20mg 100,588,0
40509,Dicyclomine HCL Tab USP 20mg 100,1173,0
40509,Dicyclomine HCL Tab USP 20mg 100,1758,0
40510,Dicyclomine HCL Tab USP 20mg 1000,7559,0
40510,Dicyclomine HCL Tab USP 20mg 1000,1156,0
40510,Dicyclomine HCL Tab USP 20mg 1000,2357,0
40511,Cyclobenzaprine HCl Tab USP 5mg 500,58011,0
40511,Cyclobenzaprine HCl Tab USP 5mg 500,7930,0
40511,Cyclobenzaprine HCl Tab USP 5mg 500,15861,0
40512,Cyclobenzaprine HCl Tab USP 10mg 500,25115,0
40512,Cyclobenzaprine HCl Tab USP 10mg 500,12920,0
40512,Cyclobenzaprine HCl Tab USP 10mg 500,26100,0
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,158102,0
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,21136,0
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,42272,0
40514,Bisoprolol Fum tab USP 10mg 30,16666,0
40514,Bisoprolol Fum tab USP 10mg 30,33251,0
40514,Bisoprolol Fum tab USP 10mg 30,142,0
40514,Bisoprolol Fum tab USP 10mg 30,284,0
40514,Bisoprolol Fum tab USP 10mg 30,310,0
40514,Bisoprolol Fum tab USP 10mg 30,194,0
40514,Bisoprolol Fum tab USP 10mg 30,78,0
40514,Bisoprolol Fum tab USP 10mg 30,82,0
40519,Glipizide Tab USP 5 mg 1000,25480,0
40519,Glipizide Tab USP 5 mg 1000,2231,0
40519,Glipizide Tab USP 5 mg 1000,4938,0
40520,Cyclobenzaprine HCl Tab USP 5mg 100,83952,0
40520,Cyclobenzaprine HCl Tab USP 5mg 100,9653,0
40520,Cyclobenzaprine HCl Tab USP 5mg 100,19285,0
40521,Cyclobenzaprine HCl Tab USP 10mg 100,20851,0
40521,Cyclobenzaprine HCl Tab USP 10mg 100,17599,0
40521,Cyclobenzaprine HCl Tab USP 10mg 100,5480,0
40521,Cyclobenzaprine HCl Tab USP 10mg 100,10960,0
40525,Glipizide Tab USP 10mg 1000,46919,0
40525,Glipizide Tab USP 10mg 1000,2209,0
40525,Glipizide Tab USP 10mg 1000,5428,0
40529,Cevimeline HCl Cap 30mg 30,5374,0
40529,Cevimeline HCl Cap 30mg 30,504,0
40529,Cevimeline HCl Cap 30mg 30,1036,0
40564,Cyclobenzaprine HCl Tab USP 7.5mg 100,19142,0
40564,Cyclobenzaprine HCl Tab USP 7.5mg 100,5470,0
40564,Cyclobenzaprine HCl Tab USP 7.5mg 100,10938,0
40565,Baclofen Tab USP 20mg 100,91868,0
40565,Baclofen Tab USP 20mg 100,55881,0
40565,Baclofen Tab USP 20mg 100,39784,0
40565,Baclofen Tab USP 20mg 100,82466,0
40566,Sildenafil Tab USP 20mg 90,5084,0
40566,Sildenafil Tab USP 20mg 90,2436,0
40566,Sildenafil Tab USP 20mg 90,4872,0
40584,Tramadol HCL Tab 75mg 30,4898,0
40584,Tramadol HCL Tab 75mg 30,53,0
40592,Baclofen Tab USP 10mg 100,146701,0
40592,Baclofen Tab USP 10mg 100,115956,0
40592,Baclofen Tab USP 10mg 100,231900,0
40593,Potassium Chl ER Tab 15mEq 100  KTAB,22828,0
40593,Potassium Chl ER Tab 15mEq 100  KTAB,331,0
40593,Potassium Chl ER Tab 15mEq 100  KTAB,682,0
40595,Baclofen Tab USP 10mg 500,35916,0
40595,Baclofen Tab USP 10mg 500,24357,0
40595,Baclofen Tab USP 10mg 500,48629,0
40600,Amitriptyline HCl Tab USP 10mg 100,6,0
40600,Amitriptyline HCl Tab USP 10mg 100,518,0
40600,Amitriptyline HCl Tab USP 10mg 100,10668,0
40600,Amitriptyline HCl Tab USP 10mg 100,21336,0
40601,Baclofen Tab USP 5mg 100,121795,0
40601,Baclofen Tab USP 5mg 100,40788,0
40601,Baclofen Tab USP 5mg 100,82146,0
40602,Diclofenac Pot tab 50mg 500,24591,0
40602,Diclofenac Pot tab 50mg 500,3074,0
40602,Diclofenac Pot tab 50mg 500,6010,0
40603,Amitriptyline HCl Tab USP 10mg 1000,767,0
40603,Amitriptyline HCl Tab USP 10mg 1000,1834,0
40603,Amitriptyline HCl Tab USP 10mg 1000,3668,0
40604,Amitriptyline HCl Tab USP 25mg 100,214,0
40604,Amitriptyline HCl Tab USP 25mg 100,10168,0
40604,Amitriptyline HCl Tab USP 25mg 100,20336,0
40605,Amitriptyline HCl Tab USP 25mg 1000,2216,0
40605,Amitriptyline HCl Tab USP 25mg 1000,2425,0
40605,Amitriptyline HCl Tab USP 25mg 1000,2334,0
40605,Amitriptyline HCl Tab USP 25mg 1000,4668,0
40605,Amitriptyline HCl Tab USP 25mg 1000,3674,0
40606,Amitriptyline HCl Tab USP 50mg 100,1649,0
40606,Amitriptyline HCl Tab USP 50mg 100,2048,0
40606,Amitriptyline HCl Tab USP 50mg 100,8336,0
40606,Amitriptyline HCl Tab USP 50mg 100,16672,0
40607,Amitriptyline HCl Tab USP 50mg 1000,2494,0
40607,Amitriptyline HCl Tab USP 50mg 1000,1002,0
40607,Amitriptyline HCl Tab USP 50mg 1000,2004,0
40608,Amitriptyline HCl Tab USP 75mg 100,1126,0
40608,Amitriptyline HCl Tab USP 75mg 100,4836,0
40608,Amitriptyline HCl Tab USP 75mg 100,9672,0
40609,Amitriptyline HCl Tab USP 100mg 100,2443,0
40609,Amitriptyline HCl Tab USP 100mg 100,1710,0
40609,Amitriptyline HCl Tab USP 100mg 100,6752,0
40609,Amitriptyline HCl Tab USP 100mg 100,13504,0
40613,Amitriptyline HCl Tab USP 150mg 100,396,0
40613,Amitriptyline HCl Tab USP 150mg 100,2168,0
40613,Amitriptyline HCl Tab USP 150mg 100,4336,0
40615,Carvedilol Tab USP 3.125mg 100,52300,0
40615,Carvedilol Tab USP 3.125mg 100,27524,0
40615,Carvedilol Tab USP 3.125mg 100,55062,0
40616,Carvedilol Tab USP 3.125mg 500,46362,0
40616,Carvedilol Tab USP 3.125mg 500,20450,0
40616,Carvedilol Tab USP 3.125mg 500,40900,0
40617,Carvedilol Tab USP 6.25mg 100,88331,0
40617,Carvedilol Tab USP 6.25mg 100,42714,0
40617,Carvedilol Tab USP 6.25mg 100,89136,0
40618,Carvedilol Tab USP 6.25mg 500,93379,0
40618,Carvedilol Tab USP 6.25mg 500,34658,0
40618,Carvedilol Tab USP 6.25mg 500,69293,0
40619,Carvedilol Tab USP 12.5mg 100,26474,0
40619,Carvedilol Tab USP 12.5mg 100,7825,0
40619,Carvedilol Tab USP 12.5mg 100,15392,0
40620,Carvedilol Tab USP 12.5mg 500,53181,0
40620,Carvedilol Tab USP 12.5mg 500,34642,0
40620,Carvedilol Tab USP 12.5mg 500,69281,0
40621,Carvedilol Tab USP 25mg 100,34054,0
40621,Carvedilol Tab USP 25mg 100,17188,0
40621,Carvedilol Tab USP 25mg 100,32472,0
40622,Carvedilol Tab USP 25mg 500,86278,0
40622,Carvedilol Tab USP 25mg 500,38126,0
40622,Carvedilol Tab USP 25mg 500,76313,0
40623,Primidone Tab USP 50mg 100,56376,0
40623,Primidone Tab USP 50mg 100,47903,0
40623,Primidone Tab USP 50mg 100,96057,0
40624,Primidone Tab USP 50mg 500,5636,0
40624,Primidone Tab USP 50mg 500,666,0
40624,Primidone Tab USP 50mg 500,2672,0
40627,Primidone Tab USP 250mg100,29920,0
40627,Primidone Tab USP 250mg100,19912,0
40627,Primidone Tab USP 250mg100,39010,0
40628,Primidone Tab USP 250mg 500,1202,0
40628,Primidone Tab USP 250mg 500,2053,0
40628,Primidone Tab USP 250mg 500,118,0
40628,Primidone Tab USP 250mg 500,250,0
40646,Lamotrigine Tab USP 150 mg 500,9816,0
40646,Lamotrigine Tab USP 150 mg 500,110,0
40646,Lamotrigine Tab USP 150 mg 500,219,0
40649,Metolazone Tab USP 2.5mg 100,4618,0
40649,Metolazone Tab USP 2.5mg 100,3684,0
40649,Metolazone Tab USP 2.5mg 100,7340,0
40650,Metolazone Tab USP 5mg 100,6350,0
40650,Metolazone Tab USP 5mg 100,2798,0
40650,Metolazone Tab USP 5mg 100,5758,0
40651,Metolazone Tab USP 10mg 100,1640,0
40651,Metolazone Tab USP 10mg 100,440,0
40651,Metolazone Tab USP 10mg 100,878,0
40652,Metoprolol Tar tab USP 25mg 100,3809,0
40652,Metoprolol Tar tab USP 25mg 100,7618,0
40653,Metoprolol Tar Tab USP 25mg 1000,10592,0
40653,Metoprolol Tar Tab USP 25mg 1000,18808,0
40654,Metoprolol Tar Tab USP 50mg 100,8330,0
40654,Metoprolol Tar Tab USP 50mg 100,2705,0
40654,Metoprolol Tar Tab USP 50mg 100,8470,0
40655,Metoprolol Tar Tab USP 50mg 1000,7980,0
40655,Metoprolol Tar Tab USP 50mg 1000,9519,0
40655,Metoprolol Tar Tab USP 50mg 1000,18980,0
40656,Metoprolol Tar Tab USP100mg 100,1010,0
40656,Metoprolol Tar Tab USP100mg 100,2020,0
40657,Metoprolol Tar Tab USP100mg 1000,2783,0
40657,Metoprolol Tar Tab USP100mg 1000,5565,0
40658,Metoprolol Tar Tab USP 75mg 100,137289,0
40658,Metoprolol Tar Tab USP 75mg 100,13334,0
40658,Metoprolol Tar Tab USP 75mg 100,28576,0
40660,Metoprolol Tar Tab USP 37.5mg 100,12878,0
40660,Metoprolol Tar Tab USP 37.5mg 100,3832,0
40660,Metoprolol Tar Tab USP 37.5mg 100,7263,0
40664,Carvedilol Tab USP 6.25mg 1000,46806,0
40664,Carvedilol Tab USP 6.25mg 1000,10145,0
40664,Carvedilol Tab USP 6.25mg 1000,21786,0
40665,Carvedilol Tab USP 3.125mg 1000,22428,0
40665,Carvedilol Tab USP 3.125mg 1000,5824,0
40665,Carvedilol Tab USP 3.125mg 1000,12896,0
40666,Carvedilol Tab USP 12.5mg 1000,11535,0
40666,Carvedilol Tab USP 12.5mg 1000,8621,0
40666,Carvedilol Tab USP 12.5mg 1000,19381,0
40667,Carvedilol Tab USP 25mg 1000,22644,0
40667,Carvedilol Tab USP 25mg 1000,15108,0
40667,Carvedilol Tab USP 25mg 1000,2893,0
40667,Carvedilol Tab USP 25mg 1000,5960,0
40669,Desvenlafaxin ER Tab 100 mg 30,112225,0
40669,Desvenlafaxin ER Tab 100 mg 30,7884,0
40669,Desvenlafaxin ER Tab 100 mg 30,85793,0
40671,Nitroglycerine Sub Tab USP 0.3mg 100,21330,0
40671,Nitroglycerine Sub Tab USP 0.3mg 100,2484,0
40671,Nitroglycerine Sub Tab USP 0.3mg 100,4966,0
40672,Nitroglycerine Sub Tab USP 0.4mg 100,49292,0
40672,Nitroglycerine Sub Tab USP 0.4mg 100,83193,0
40672,Nitroglycerine Sub Tab USP 0.4mg 100,5068,0
40672,Nitroglycerine Sub Tab USP 0.4mg 100,10136,0
40674,Labetalol HCl Tab USP 100mg 100,30339,0
40674,Labetalol HCl Tab USP 100mg 100,4043,0
40674,Labetalol HCl Tab USP 100mg 100,8086,0
40675,Labetalol HCl Tab USP 100mg 500,73855,0
40675,Labetalol HCl Tab USP 100mg 500,1904,0
40675,Labetalol HCl Tab USP 100mg 500,3808,0
40676,Labetalol HCl Tab USP 200mg 100,63377,0
40676,Labetalol HCl Tab USP 200mg 100,5450,0
40676,Labetalol HCl Tab USP 200mg 100,10900,0
40677,Labetalol HCl Tab USP 200mg 500,19579,0
40677,Labetalol HCl Tab USP 200mg 500,5330,0
40677,Labetalol HCl Tab USP 200mg 500,8696,0
40678,Labetalol HCl Tab USP 300mg 100,22623,0
40678,Labetalol HCl Tab USP 300mg 100,2442,0
40678,Labetalol HCl Tab USP 300mg 100,8285,0
40679,Labetalol HCl Tab USP 300mg 500,3603,0
40679,Labetalol HCl Tab USP 300mg 500,1456,0
40679,Labetalol HCl Tab USP 300mg 500,2335,0
40680,Acetazolamide Tab USP 125mg 100,9784,0
40680,Acetazolamide Tab USP 125mg 100,4502,0
40680,Acetazolamide Tab USP 125mg 100,9005,0
40682,Acetazolamide Tab USP 250mg 100,47190,0
40682,Acetazolamide Tab USP 250mg 100,18520,0
40682,Acetazolamide Tab USP 250mg 100,36935,0
40686,Nitroglycerine Sub Tab USP 0.4mg 25,67197,0
40686,Nitroglycerine Sub Tab USP 0.4mg 25,24049,0
40686,Nitroglycerine Sub Tab USP 0.4mg 25,48085,0
40690,Desvenlafaxine ER Tab 25mg 30,102441,0
40690,Desvenlafaxine ER Tab 25mg 30,19988,0
40690,Desvenlafaxine ER Tab 25mg 30,75046,0
40692,Desvenlafaxine ER Tab 50 mg 30,171955,0
40692,Desvenlafaxine ER Tab 50 mg 30,16361,0
40692,Desvenlafaxine ER Tab 50 mg 30,130060,0
40694,Midodrine HCl Tab USP 2.5mg 100,57704,0
40694,Midodrine HCl Tab USP 2.5mg 100,12756,0
40694,Midodrine HCl Tab USP 2.5mg 100,28430,0
40695,Midodrine HCl Tab USP 5 mg 100,58943,0
40695,Midodrine HCl Tab USP 5 mg 100,32409,0
40695,Midodrine HCl Tab USP 5 mg 100,64817,0
40696,Midodrine HCl Tab USP 10mg 100,75379,0
40696,Midodrine HCl Tab USP 10mg 100,17063,0
40696,Midodrine HCl Tab USP 10mg 100,38106,0
40700,Tramadol HCl Tab USP 50mg 100,257421,0
40700,Tramadol HCl Tab USP 50mg 100,64926,0
40700,Tramadol HCl Tab USP 50mg 100,129852,0
40701,Tramadol HCl Tab USP 50mg 500,17606,0
40701,Tramadol HCl Tab USP 50mg 500,7598,0
40701,Tramadol HCl Tab USP 50mg 500,14476,0
40702,Tramadol HCl Tab USP 50mg 1000,190827,0
40702,Tramadol HCl Tab USP 50mg 1000,24794,0
40702,Tramadol HCl Tab USP 50mg 1000,49420,0
40703,Sildenafil Tab USP 25mg 500,1732,0
40703,Sildenafil Tab USP 25mg 500,76,0
40703,Sildenafil Tab USP 25mg 500,152,0
40705,Sildenafil Tab USP 50mg 1000,1200,0
40705,Sildenafil Tab USP 50mg 1000,2013,0
40705,Sildenafil Tab USP 50mg 1000,27,0
40705,Sildenafil Tab USP 50mg 1000,54,0
40706,Sildenafil Tab USP 100mg 1000,432,0
40706,Sildenafil Tab USP 100mg 1000,69,0
40706,Sildenafil Tab USP 100mg 1000,138,0
40707,Metoprolol Tar Tab USP 25mg 500,39041,0
40707,Metoprolol Tar Tab USP 25mg 500,77428,0
40707,Metoprolol Tar Tab USP 25mg 500,8840,0
40707,Metoprolol Tar Tab USP 25mg 500,17393,0
40710,Clonazepam Tab USP 0.5mg 100,92291,0
40710,Clonazepam Tab USP 0.5mg 100,98462,0
40710,Clonazepam Tab USP 0.5mg 100,198356,0
40711,Clonazepam Tab USP 0.5mg 1000,13484,0
40711,Clonazepam Tab USP 0.5mg 1000,7827,0
40711,Clonazepam Tab USP 0.5mg 1000,15629,0
40713,Clonazepam Tab USP 1mg 100,142292,0
40713,Clonazepam Tab USP 1mg 100,48200,0
40713,Clonazepam Tab USP 1mg 100,96100,0
40714,Clonazepam Tab USP 1mg 1000,21713,0
40714,Clonazepam Tab USP 1mg 1000,5290,0
40714,Clonazepam Tab USP 1mg 1000,10564,0
40716,Clonazepam Tab USP 2mg 100,201418,0
40716,Clonazepam Tab USP 2mg 100,15203,0
40716,Clonazepam Tab USP 2mg 100,35619,0
