material,prod_desc,week_start,weekly_demand
40830,Buprenorphine Sl Tab 8 Mg 30,2025-02-24 00:00:00,69942.6666666666
40700,Tramadol HCl Tab USP 50mg 100,2025-02-24 00:00:00,64926.168
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2025-02-24 00:00:00,57291.1333333333
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2025-03-31 00:00:00,290641.5
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2025-03-31 00:00:00,181722.81472884
40309,Buspirone HCl Tab USP 10mg 100,2025-03-31 00:00:00,136634.0
40592,Baclofen Tab USP 10mg 100,2025-03-31 00:00:00,115875.0
40692,Desvenlafaxine ER Tab 50 mg 30,2025-03-31 00:00:00,113578.0
40307,Buspirone HCl Tab USP 5mg 100,2025-03-31 00:00:00,105195.272727272
40312,Buspirone HCl Tab USP 15mg 100,2025-03-31 00:00:00,96802.3333333333
40830,Buprenorphine Sl Tab 8 Mg 30,2025-03-31 00:00:00,86219.1666666666
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2025-03-31 00:00:00,65102.3
40700,Tramadol HCl Tab USP 50mg 100,2025-03-31 00:00:00,59308.168
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2025-04-28 00:00:00,301898.333333333
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2025-04-28 00:00:00,185240.81472884
40309,Buspirone HCl Tab USP 10mg 100,2025-04-28 00:00:00,136634.0
40692,Desvenlafaxine ER Tab 50 mg 30,2025-04-28 00:00:00,133908.5
40592,Baclofen Tab USP 10mg 100,2025-04-28 00:00:00,115875.0
40307,Buspirone HCl Tab USP 5mg 100,2025-04-28 00:00:00,105195.272727272
40312,Buspirone HCl Tab USP 15mg 100,2025-04-28 00:00:00,96802.3333333333
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2025-04-28 00:00:00,92900.3
40830,Buprenorphine Sl Tab 8 Mg 30,2025-04-28 00:00:00,86219.1666666666
40700,Tramadol HCl Tab USP 50mg 100,2025-04-28 00:00:00,59308.168
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2025-05-26 00:00:00,301898.333333333
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2025-05-26 00:00:00,185240.81472884
40309,Buspirone HCl Tab USP 10mg 100,2025-05-26 00:00:00,136634.0
40692,Desvenlafaxine ER Tab 50 mg 30,2025-05-26 00:00:00,133908.5
40592,Baclofen Tab USP 10mg 100,2025-05-26 00:00:00,115875.0
40307,Buspirone HCl Tab USP 5mg 100,2025-05-26 00:00:00,105195.272727272
40312,Buspirone HCl Tab USP 15mg 100,2025-05-26 00:00:00,96802.3333333333
40830,Buprenorphine Sl Tab 8 Mg 30,2025-05-26 00:00:00,86219.1666666666
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2025-05-26 00:00:00,82776.3
40700,Tramadol HCl Tab USP 50mg 100,2025-05-26 00:00:00,60148.168
