material,prod_desc,prod_family,inventory_month,forecast_month,monthend_invent,forecasted_demand,inventory_status
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2024-11,2024-12,69528.0,51630.6666666666,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2025-03,2025-04,117480.0,51490.0,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2025-02,2025-03,117480.0,50850.0,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2025-02,2025-03,57120.0,49784.0,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2025-01,2025-02,57120.0,49784.0,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2024-12,2025-01,57120.0,49718.0,Sufficient
40828,Buprenorphine Sl Tab 2 Mg 30,Buprenorphine Sl,2024-11,2024-12,51336.0,49422.2791141657,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2025-02,2025-03,69528.0,48704.0,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2025-03,2025-04,69528.0,48464.0,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2024-12,2025-01,69528.0,48200.0,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2025-01,2025-02,69528.0,47900.0,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2025-02,2025-03,63432.0,46936.5,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2025-01,2025-02,63432.0,46422.5,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2025-04,2025-05,69528.0,43352.0,Sufficient
40713,Clonazepam Tab USP 1mg 100,Clonazepam Tab,2025-05,2025-06,69528.0,43352.0,Sufficient
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-03,2025-04,44148.0,42738.3333333333,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2024-12,2025-01,63432.0,42713.5,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2025-05,2025-06,63432.0,41922.0,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2025-03,2025-04,63432.0,41922.0,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2025-04,2025-05,63432.0,41922.0,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2025-03,2025-04,78408.0,37214.5,Sufficient
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-02,2025-03,44148.0,35589.5,Sufficient
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-01,2025-02,44148.0,35589.5,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2024-12,2025-01,64035.0,33115.0573333333,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2025-02,2025-03,64035.0,31882.0573333333,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2025-01,2025-02,64035.0,31882.0573333333,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2024-11,2024-12,159528.0,31812.1333333333,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2025-05,2025-06,64035.0,31775.0573333333,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2025-04,2025-05,64035.0,31775.0573333333,Sufficient
40335,Diclofenac Pot Tab USP 50mg 100,Diclofenac Potassium,2025-03,2025-04,64035.0,31775.0573333333,Sufficient
41069,Metoprolol Tar Tab USP 50mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2024-12,2025-01,44148.0,30138.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2025-05,2025-06,70858.0,29552.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2025-01,2025-02,70858.0,29552.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2024-12,2025-01,70858.0,29552.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2025-04,2025-05,70858.0,29552.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2025-02,2025-03,70858.0,29552.0,Sufficient
40929,Mycophenolate Mof Tab USP 500mg 100,Mycophenolate Mofetil Tab,2025-03,2025-04,70858.0,29552.0,Sufficient
40828,Buprenorphine Sl Tab 2 Mg 30,Buprenorphine Sl,2024-12,2025-01,51336.0,28279.5,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2025-03,2025-04,67536.0,27746.8333333333,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2025-05,2025-06,67536.0,27746.8333333333,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2025-04,2025-05,67536.0,27746.8333333333,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2025-02,2025-03,67536.0,27538.5,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2025-01,2025-02,67536.0,27538.5,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2024-12,2025-01,67536.0,27523.5,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2025-05,2025-06,78408.0,27243.8333333333,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2025-04,2025-05,78408.0,27243.8333333333,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2024-12,2025-01,78408.0,26688.0,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2025-01,2025-02,78408.0,26688.0,Sufficient
41062,Metoprolol Tar Tab USP 25mg 500 UnTS,Metoprolol Tartrate (Uncoated),2025-02,2025-03,78408.0,26688.0,Sufficient
40617,Carvedilol Tab USP 6.25mg 100,Carvedilol,2024-11,2024-12,63432.0,26019.0666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2025-05,2025-06,46313.0,24805.1666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2025-04,2025-05,46313.0,24805.1666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2025-03,2025-04,46313.0,24805.1666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2025-02,2025-03,46313.0,24165.6666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2024-12,2025-01,46313.0,24049.1666666666,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2025-01,2025-02,46313.0,24035.6666666666,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2025-04,2025-05,57120.0,23772.3333333333,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2025-05,2025-06,57120.0,23772.3333333333,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2025-04,2025-05,34140.0,22733.784,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2025-05,2025-06,34140.0,22733.784,Sufficient
40153,Diclofenac Sod DR Tab USP 50 mg 100,Diclofenac Sodium Tab,2024-11,2024-12,109296.0,21764.3546666666,Sufficient
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2024-11,2024-12,69900.0,21691.7317923763,Sufficient
40316,Buspirone HCl Tab USP 30mg 60,Buspirone HCl,2024-11,2024-12,53472.0,21476.0,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2025-02,2025-03,34140.0,21231.784,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2025-01,2025-02,34140.0,21135.784,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2024-12,2025-01,34140.0,21135.784,Sufficient
40690,Desvenlafaxine ER Tab 25mg 30,Desvenlaflaxine,2024-11,2024-12,48504.0,20987.8066059712,Sufficient
40513,Cyclobenzaprine HCl Tab USP 10mg 1000,Cyclobenzaprine HCl,2025-03,2025-04,34140.0,20839.784,Sufficient
40686,Nitroglycerine Sub Tab USP 0.4mg 25,Nitroglycerine,2024-11,2024-12,46313.0,20811.0946022186,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2025-01,2025-02,42264.0,20415.6666666666,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2025-02,2025-03,42264.0,20415.6666666666,Sufficient
40690,Desvenlafaxine ER Tab 25mg 30,Desvenlaflaxine,2024-12,2025-01,48504.0,19988.1555555555,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2025-05,2025-06,26964.0,19202.9666666666,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2025-04,2025-05,26964.0,19202.9666666666,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2025-04,2025-05,42264.0,19177.6666666666,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2025-05,2025-06,42264.0,19177.6666666666,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2025-03,2025-04,42264.0,19069.6666666666,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2024-11,2024-12,117480.0,18778.8333333333,Sufficient
40694,Midodrine HCl Tab USP 2.5mg 100,Midodrine,2024-11,2024-12,20088.0,18555.5595133404,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2025-05,2025-06,23184.0,17775.5,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2025-04,2025-05,23184.0,17775.5,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2024-12,2025-01,18744.0,17187.5,Sufficient
40696,Midodrine HCl Tab USP 10mg 100,Midodrine,2024-12,2025-01,20784.0,17062.7408836341,Sufficient
40692,Desvenlafaxine ER Tab 50 mg 30,Desvenlaflaxine,2024-11,2024-12,128448.0,17035.656862745,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2024-11,2024-12,32472.0,16516.0,Sufficient
40692,Desvenlafaxine ER Tab 50 mg 30,Desvenlaflaxine,2024-12,2025-01,128448.0,16361.4111111111,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2025-03,2025-04,26964.0,16109.9666666666,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2025-01,2025-02,16344.0,15791.3333333333,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2025-02,2025-03,16344.0,15791.3333333333,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2024-12,2025-01,16344.0,15791.3333333333,Sufficient
40694,Midodrine HCl Tab USP 2.5mg 100,Midodrine,2025-02,2025-03,20088.0,15785.6307563109,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2025-05,2025-06,16344.0,15741.3333333333,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2025-03,2025-04,16344.0,15741.3333333333,Sufficient
40314,Buspirone HCl Tab USP 7.5mg 100,Buspirone HCl,2025-04,2025-05,16344.0,15741.3333333333,Sufficient
40694,Midodrine HCl Tab USP 2.5mg 100,Midodrine,2025-01,2025-02,20088.0,15673.6307563109,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2025-05,2025-06,28272.0,15560.2143778207,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2025-04,2025-05,28272.0,15560.2143778207,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2025-05,2025-06,18744.0,15454.8333333333,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2025-03,2025-04,18744.0,15454.8333333333,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2025-04,2025-05,18744.0,15454.8333333333,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2025-02,2025-03,18744.0,15285.0,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2025-01,2025-02,18744.0,15285.0,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2025-03,2025-04,28272.0,15259.047711154,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2025-02,2025-03,28272.0,15242.3810444874,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2025-01,2025-02,28272.0,15242.3810444874,Sufficient
40716,Clonazepam Tab USP 2mg 100,Clonazepam Tab,2024-12,2025-01,42264.0,15203.0,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2024-11,2024-12,94200.0,15071.0,Sufficient
40961,Dorzolamide Ophth Soln 2% base,Dorzolamide Opthal Sol,2025-04,2025-05,67680.0,14764.0,Sufficient
40961,Dorzolamide Ophth Soln 2% base,Dorzolamide Opthal Sol,2025-05,2025-06,67680.0,14764.0,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2025-04,2025-05,15768.0,14697.8333333333,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2025-05,2025-06,15768.0,14697.8333333333,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2025-02,2025-03,23184.0,14667.5,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2025-01,2025-02,23184.0,14667.5,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2025-03,2025-04,15768.0,14501.8333333333,Sufficient
40140,Amantadine HCl Cap USP 100mg 100,Amantadine HCL,2024-11,2024-12,15505.0,14291.4190658011,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2025-02,2025-03,26964.0,14104.0,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2025-01,2025-02,26964.0,14104.0,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2024-12,2025-01,26964.0,14104.0,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2025-01,2025-02,15768.0,14100.8333333333,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2025-02,2025-03,15768.0,14100.8333333333,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2024-12,2025-01,23184.0,14032.5,Sufficient
41074,Metoprolol Tar Tab USP 100mg 1000UnTS,Metoprolol Tartrate (Uncoated),2024-11,2024-12,26964.0,13748.7,Sufficient
40696,Midodrine HCl Tab USP 10mg 100,Midodrine,2024-11,2024-12,20784.0,13668.2853080568,Sufficient
40774,Tranexamic Acid Tab USP 650 mg 30,Tranexamic Acid Tab,2024-11,2024-12,30552.0,13593.1032012846,Sufficient
40970,Desvenlafaxin ER Tab 100 mg 90,Desvenlaflaxine,2024-11,2024-12,14400.0,13527.528,Sufficient
40682,Acetazolamide Tab USP 250mg 100,Acetazolamide,2024-11,2024-12,18268.0,13361.0802619506,Sufficient
40658,Metoprolol Tar Tab USP 75mg 100,Metoprolol Tartrate,2024-12,2025-01,28272.0,13333.7143778207,Sufficient
40809,Gabapentin OS 250 mg/5 mL 470 PET US,Gabapentin Oral Solution,2025-03,2025-04,23184.0,13203.5,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2025-02,2025-03,17436.0,13181.0,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2025-01,2025-02,17436.0,13181.0,Sufficient
40217,Potassium Chl Ora sol 20mEq 30,Potassium Chloride PFOS,2024-12,2025-01,15768.0,13121.5,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2024-12,2025-01,17436.0,12919.5,Sufficient
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,Triamterene HCTZ,2025-04,2025-05,37416.0,12906.4906666666,Sufficient
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,Triamterene HCTZ,2025-05,2025-06,37416.0,12906.4906666666,Sufficient
40694,Midodrine HCl Tab USP 2.5mg 100,Midodrine,2024-12,2025-01,20088.0,12755.9640896442,Sufficient
40615,Carvedilol Tab USP 3.125mg 100,Carvedilol,2024-11,2024-12,67536.0,12701.7333333333,Sufficient
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,Triamterene HCTZ,2024-11,2024-12,37416.0,12455.5229104345,Sufficient
40294,Amiodarone HCl Tab USP 200mg 60,Amiodarone HCl,2024-11,2024-12,34381.0,12272.0586666666,Sufficient
40616,Carvedilol Tab USP 3.125mg 500,Carvedilol,2024-11,2024-12,12624.0,12005.7333333333,Sufficient
40970,Desvenlafaxin ER Tab 100 mg 90,Desvenlaflaxine,2025-03,2025-04,14400.0,11827.5714285714,Sufficient
40970,Desvenlafaxin ER Tab 100 mg 90,Desvenlaflaxine,2025-02,2025-03,14400.0,11826.7269841269,Sufficient
40970,Desvenlafaxin ER Tab 100 mg 90,Desvenlaflaxine,2025-01,2025-02,14400.0,11818.0603174603,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2025-01,2025-02,20472.0,11742.1980476703,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2025-02,2025-03,20472.0,11742.1980476703,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2024-12,2025-01,20472.0,11673.6980476703,Sufficient
40592,Baclofen Tab USP 10mg 100,Baclofen,2024-11,2024-12,112056.0,11547.5,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2025-04,2025-05,20472.0,11507.1980476703,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2025-05,2025-06,20472.0,11507.1980476703,Sufficient
41024,Mycophenolic Sod DR Tab 180 mg 120,Mycophenolae Sodium DR Tab,2025-03,2025-04,20472.0,11507.1980476703,Sufficient
40880,Guanfacine Tab USP 1mg 100,Guanfacine IR,2024-11,2024-12,21720.0,11310.0444444444,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2025-05,2025-06,17436.0,11240.6666666666,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2025-04,2025-05,17436.0,11240.6666666666,Sufficient
40600,Amitriptyline HCl Tab USP 10mg 100,Amitriptyline,2025-02,2025-03,12648.0,10668.0,Sufficient
40600,Amitriptyline HCl Tab USP 10mg 100,Amitriptyline,2025-03,2025-04,12648.0,10668.0,Sufficient
40600,Amitriptyline HCl Tab USP 10mg 100,Amitriptyline,2024-12,2025-01,12648.0,10668.0,Sufficient
40600,Amitriptyline HCl Tab USP 10mg 100,Amitriptyline,2025-01,2025-02,12648.0,10668.0,Sufficient
40512,Cyclobenzaprine HCl Tab USP 10mg 500,Cyclobenzaprine HCl,2025-03,2025-04,17436.0,10343.5,Sufficient
40460,Triamterene & HCTZ Tab USP 37.5/25mg 100,Triamterene HCTZ,2024-12,2025-01,37416.0,10156.9795555555,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2025-02,2025-03,32472.0,9991.0,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2025-01,2025-02,32472.0,9991.0,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2025-04,2025-05,32472.0,9931.0,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2025-05,2025-06,32472.0,9931.0,Sufficient
40782,Bisoprolol Fum Tab USP 5 mg 100,Bisoprolol Fumarate,2025-03,2025-04,32472.0,9931.0,Sufficient
40701,Tramadol HCl Tab USP 50mg 500,Tramadol,2025-04,2025-05,54585.0,9902.0,Sufficient
40701,Tramadol HCl Tab USP 50mg 500,Tramadol,2025-05,2025-06,54585.0,9902.0,Sufficient
40701,Tramadol HCl Tab USP 50mg 500,Tramadol,2025-03,2025-04,54585.0,9902.0,Sufficient
40309,Buspirone HCl Tab USP 10mg 100,Buspirone HCl,2024-11,2024-12,103776.0,9870.0,Sufficient
40621,Carvedilol Tab USP 25mg 100,Carvedilol,2024-11,2024-12,18744.0,9785.73333333333,Sufficient
40520,Cyclobenzaprine HCl Tab USP 5mg 100,Cyclobenzaprine HCl,2025-05,2025-06,20616.0,9668.304,Sufficient
40520,Cyclobenzaprine HCl Tab USP 5mg 100,Cyclobenzaprine HCl,2025-04,2025-05,20616.0,9668.304,Sufficient
40520,Cyclobenzaprine HCl Tab USP 5mg 100,Cyclobenzaprine HCl,2024-12,2025-01,20616.0,9652.804,Sufficient
