batch,fg_code,prod_desc
41297HF1,40884,Primidone Tab USP 125mg 100 Tru
41298HF1,40045,Metoprolol Tar Tab USP 37.5mg 100 TRU
41330HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41331HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41334HF1,40016,Baclofen Tab USP 10mg 100 TRU
41334HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41335HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41336HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41337HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41338HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41340HF1,41131,Baclofen Tab USP 15mg 100 Tru
41341HF1,41131,Baclofen Tab USP 15mg 100 Tru
41345HF1,40013,Baclofen Tab USP 5mg 100 TRU
41346HF1,40013,Baclofen Tab USP 5mg 100 TRU
41347HF1,40013,Baclofen Tab USP 5mg 100 TRU
41373HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41375HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41376HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41377HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41378HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
41384HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41385HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41386HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41388HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41388HD2,40699,Diclofenac Pot Tab USP 25mg 60 INA
41388HD3,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41393,30088,Cor Nicotine Pol Loz 4mg Mint
41397HF1,40047,Metoprolol Tar Tab USP 75mg 100 TRU
41398,30086,Cor Nicotine Pol Loz 2mg Mint
41411HF2,41168,Clonazepam Tab USP 0.5mg 100 NOR
41411HJ2,41169,Clonazepam Tab USP 0.5mg 500 NOR
41416HJ2,41169,Clonazepam Tab USP 0.5mg 500 NOR
41435HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41437HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41438HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41439HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41440HK1,40018,Baclofen Tab USP 10mg 1000 TRU
41455HD1,40294,Amiodarone HCl Tab USP 200mg 60
41456HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41457HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41458HJ1,40008,Cyclobenzaprine HCl Tab USP 5mg 500 TRU
41519HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41520HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41521HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41522HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41523HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41531HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41532HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41533HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41534HF1,41178,Cyclobenzaprine HCl Tab USP 10mg 100 NOR
41534HK1,41180,Cyclobenzaprine HCL Tab USP 10mg1000 NOR
41535HJ1,40012,Cyclobenzaprine HCl Tab USP 10mg 500 TRU
41536HK2,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41537HK1,41180,Cyclobenzaprine HCL Tab USP 10mg1000 NOR
41538HJ1,41179,Cyclobenzaprine HCl Tab USP 10mg 500 NOR
41539HJ1,41179,Cyclobenzaprine HCl Tab USP 10mg 500 NOR
41542HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
41543HF1,41187,Metoprolol Tar Tab USP 25mg 100 UNTS Tru
41543HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
41545HF1,40167,"Metoprolol Tart. Tab USP 25mg,100's,TRU"
41545HK1,40168,"Metoprolol Tart. Tab USP 25mg,1000's,TRU"
41567HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
41567HJ1,40894,Carbi + Levo tab USP 25/250mg 500 Tru
41567HK1,40895,Carbi + Levo tab USP 25/250mg 1000 Tru
41568HF2,40621,Carvedilol Tab USP 25mg 100
41594HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41597HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41600HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41601HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41602HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41603HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41604HF1,41068,Metoprolol Tar Tab USP 50mg 100 UnTS
41617HF1,41173,Clonazepam Tab USP 2mg 100 NOR
41617HJ1,41174,Clonazepam Tab USP 2mg 500 NOR
41640HF2,41170,Clonazepam Tab USP 1mg 100 NOR
41640HJ2,41171,Clonazepam Tab USP 1mg 500 NOR
41640HK2,41172,Clonazepam Tab USP 1mg 1000 NOR
41642HF2,41170,Clonazepam Tab USP 1mg 100 NOR
41643HJ2,41171,Clonazepam Tab USP 1mg 500 NOR
41651HJ1,41175,Cyclobenzaprine HCl Tab USP 5mg 500 NOR
41652HJ1,41175,Cyclobenzaprine HCl Tab USP 5mg 500 NOR
41653HF1,41183,Cyclobenzaprine HCl Tab USP 5mg 100 NOR
41654HF1,41183,Cyclobenzaprine HCl Tab USP 5mg 100 NOR
41655,30098,Cor  Nicotine  Pol Mini Loz 2mg Cherry
41661HF1,41177,Cyclobenzaprine HCl Tab USP 7.5mg100 NOR
41663HF1,41177,Cyclobenzaprine HCl Tab USP 7.5mg100 NOR
41664HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41668,30100,Cor  Nicotine  Pol Mini Loz 4mg Cherry
41669HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
41669HD1,40699,Diclofenac Pot Tab USP 25mg 60 INA
41676,30088,Cor Nicotine Pol Loz 4mg Mint
41682HF1,40013,Baclofen Tab USP 5mg 100 TRU
41683HF1,40013,Baclofen Tab USP 5mg 100 TRU
41684,30086,Cor Nicotine Pol Loz 2mg Mint
41685,30086,Cor Nicotine Pol Loz 2mg Mint
41686,30086,Cor Nicotine Pol Loz 2mg Mint
41702HF1,40019,Baclofen Tab USP 20mg 100 TRU
41737HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41738HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41739HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41744HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
41744HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41745HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
41745HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
41765HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41766HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41767HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41778HC2,40028,Sapropterin DiHCl Tab 100mg 30 DIP KOR
41779HC3,40028,Sapropterin DiHCl Tab 100mg 30 DIP KOR
41784HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41785HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41786HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41787HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41788HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
41817HF1,40013,Baclofen Tab USP 5mg 100 TRU
41818HF1,40013,Baclofen Tab USP 5mg 100 TRU
41819HF1,40013,Baclofen Tab USP 5mg 100 TRU
41820HF1,40013,Baclofen Tab USP 5mg 100 TRU
41857HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41870HF1,40884,Primidone Tab USP 125mg 100 Tru
41871HF1,40884,Primidone Tab USP 125mg 100 Tru
41888HF1,41187,Metoprolol Tar Tab USP 25mg 100 UNTS Tru
41888HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
41889HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
41900HF1,40149,Midodrine HCl Tab USP 5mg 100 TRU
41922HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41923HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41924HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
41927HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41927HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
41928HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41929HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
41930HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
41957,30088,Cor Nicotine Pol Loz 4mg Mint
41958,30088,Cor Nicotine Pol Loz 4mg Mint
41967HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
41968HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
41969HJ1,40894,Carbi + Levo tab USP 25/250mg 500 Tru
41971HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
41972HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
41977HF1,40019,Baclofen Tab USP 20mg 100 TRU
41977HK1,40021,Baclofen Tab USP 20mg 1000 TRU
41978HK1,40021,Baclofen Tab USP 20mg 1000 TRU
42007HF1,40891,Carbi + Levo tab USP 10/100mg 100 Tru
42040HF1,40891,Carbi + Levo tab USP 10/100mg 100 Tru
42041HF1,40891,Carbi + Levo tab USP 10/100mg 100 Tru
42041HJ1,40892,Carbi + Levo tab USP 10/100mg 500 Tru
42042HJ1,40012,Cyclobenzaprine HCl Tab USP 10mg 500 TRU
42042HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42043HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42044HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42045HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42046HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42047HJ1,40012,Cyclobenzaprine HCl Tab USP 10mg 500 TRU
42047HK1,40166,Cyclobenzaprine HCL Tab USP 10mg1000 TRU
42074HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
42077HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42078HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42079HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42080HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42116HF1,41193,Metoprolol Tar Tab USP 100mg 100UNTS Tru
42118HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
42119HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
42120HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
42135HF1,41168,Clonazepam Tab USP 0.5mg 100 NOR
42135HJ1,41169,Clonazepam Tab USP 0.5mg 500 NOR
42136HJ1,41169,Clonazepam Tab USP 0.5mg 500 NOR
42148HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
42148HC2,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
42148HD1,41026,Diclofenac Pot Tab USP 25 mg 60 Tri
42149HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42150HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42151HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
42156HF1,41173,Clonazepam Tab USP 2mg 100 NOR
42156HJ2,41174,Clonazepam Tab USP 2mg 500 NOR
42164BD1,40505,Nico pol Mini Loz 2mg 1x10 Mint Bounce
42164BF1,40978,SKIIP Mini Loz 2 mg Mint 2x10 Wel KSA
42196HF1,40884,Primidone Tab USP 125mg 100 Tru
42197HF1,40884,Primidone Tab USP 125mg 100 Tru
42198HF1,40884,Primidone Tab USP 125mg 100 Tru
42199HF1,40884,Primidone Tab USP 125mg 100 Tru
42204HK1,40021,Baclofen Tab USP 20mg 1000 TRU
42205HF1,40019,Baclofen Tab USP 20mg 100 TRU
50012HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
50013HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
50037HJ1,40313,Buspirone HCl Tab USP 15mg 500
50049HF1,40884,Primidone Tab USP 125mg 100 Tru
50069HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
50070HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
50074HF1,40710,Clonazepam Tab USP 0.5mg 100
50091HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
50096HF1,41193,Metoprolol Tar Tab USP 100mg 100UNTS Tru
50101HC1,40028,Sapropterin DiHCl Tab 100mg 30 DIP KOR
50106HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
50107HK1,40702,Tramadol HCl Tab USP 50mg 1000
50113HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
50118HK2,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
50126HF2,40442,Isosorbide Dinitrate Tab USP 10mg 100
50132,30098,Cor  Nicotine  Pol Mini Loz 2mg Cherry
50133,30088,Cor Nicotine Pol Loz 4mg Mint
50134,30086,Cor Nicotine Pol Loz 2mg Mint
50140,30106,Cor  Nicotine  Pol Mini Loz 2mg Cinnamon
50142BI1,41155,Ivermectin Tab USP 6mg 2x10
50143BI1,41155,Ivermectin Tab USP 6mg 2x10
50148HK1,40702,Tramadol HCl Tab USP 50mg 1000
50149HK1,40702,Tramadol HCl Tab USP 50mg 1000
50150,30086,Cor Nicotine Pol Loz 2mg Mint
50151HK1,40702,Tramadol HCl Tab USP 50mg 1000
50152HK1,40702,Tramadol HCl Tab USP 50mg 1000
50155BD1,40505,Nico pol Mini Loz 2mg 1x10 Mint Bounce
50156HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50157HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50158HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
50161HF1,41251,Baclofen Tab USP 10mg 100 SOL
50162HK1,40018,Baclofen Tab USP 10mg 1000 TRU
50163HK1,40018,Baclofen Tab USP 10mg 1000 TRU
50169HF1,41131,Baclofen Tab USP 15mg 100 Tru
50185HF1,40609,Amitriptyline HCl Tab USP 100mg 100
50188HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
50189HF1,40867,Glipizide Tab USP 2.5 mg 100 Tru
50199HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50200HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50201HK1,41065,Metoprolol Tar Tab USP 25mg 1000 UnTS
50202HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
50204HF1,40146,Oxybutynin Cl ER Tab USP 10mg 100
50210HJ1,40916,Oxybutynin Cl ER Tab USP 15mg 500
50218HF1,41170,Clonazepam Tab USP 1mg 100 NOR
50219HF1,41170,Clonazepam Tab USP 1mg 100 NOR
50219HK1,41172,Clonazepam Tab USP 1mg 1000 NOR
50220HJ1,41171,Clonazepam Tab USP 1mg 500 NOR
50233HJ1,40622,Carvedilol Tab USP 25mg 500
50235HF1,40148,Midodrine HCl Tab USP 2.5mg 100 TRU
50237HF1,40047,Metoprolol Tar Tab USP 75mg 100 TRU
50238HF1,40149,Midodrine HCl Tab USP 5mg 100 TRU
50238HF2,40695,Midodrine HCl Tab USP 5 mg 100
50239HC1,40974,Diclofenac Pot Tab USP 25 mg 30 Tri
50240HJ1,40796,Clonazepam Tab USP 0.5mg 500
50240HK1,40711,Clonazepam Tab USP 0.5mg 1000
50246GB1,40671,Nitroglycerin Sub Tab USP 0.3mg 1x100
50253HF1,40463,Triamterene & HCTZ Tab USP 75/50mg 100
50268HF1,41177,Cyclobenzaprine HCl Tab USP 7.5mg100 NOR
50269HF1,41183,Cyclobenzaprine HCl Tab USP 5mg 100 NOR
50270HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50271HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50272HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50284HF2,40444,Isosorbide Dinitrate Tab USP 20mg 100
50285HF1,40444,Isosorbide Dinitrate Tab USP 20mg 100
50286HK1,40445,Isosorbide Dinitrate Tab USP 20mg 1000
50290HF1,40312,Buspirone HCl Tab USP 15mg 100
50299HF1,40865,Loperamide HCL Cap USP 2mg 100
50304HF1,40865,Loperamide HCL Cap USP 2mg 100
50305HF1,40865,Loperamide HCL Cap USP 2mg 100
50306HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
50307HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
50308HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
50309HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
50309HK1,40898,Carbi + Levo tab USP 25/100mg 1000 Tru
50315HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
50316HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
50317HK1,41191,Metoprolol Tar Tab USP 50mg 1000UNTS Tru
50322HK1,40726,Baclofen Tab USP 10mg 1000
50323HF1,40016,Baclofen Tab USP 10mg 100 TRU
50324HK1,40018,Baclofen Tab USP 10mg 1000 TRU
50325HF1,40019,Baclofen Tab USP 20mg 100 TRU
50325HF2,40565,Baclofen Tab USP 20mg 100
50327HD1,40294,Amiodarone HCl Tab USP 200mg 60
50328HF1,41178,Cyclobenzaprine HCl Tab USP 10mg 100 NOR
50328HJ1,41179,Cyclobenzaprine HCl Tab USP 10mg 500 NOR
50329HK1,41180,Cyclobenzaprine HCL Tab USP 10mg1000 NOR
50332HJ1,40797,Clonazepam Tab USP 1mg 500
50357HK1,41194,Metoprolol Tar Tab USP100mg 1000UNTS Tru
50358,30100,Cor  Nicotine  Pol Mini Loz 4mg Cherry
50359HJ1,40677,Labetalol HCl Tab USP 200mg 500
50360HJ1,40677,Labetalol HCl Tab USP 200mg 500
50361HJ1,41175,Cyclobenzaprine HCl Tab USP 5mg 500 NOR
50364HJ1,40897,Carbi + Levo tab USP 25/100mg 500 Tru
50368HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50369HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50370HK1,41188,Metoprolol Tar Tab USP 25mg 1000UNTS Tru
50371HJ1,40908,Glipizide Tab USP 10mg 500
50379,30088,Cor Nicotine Pol Loz 4mg Mint
50380,30088,Cor Nicotine Pol Loz 4mg Mint
50383HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
50384HF1,40893,Carbi + Levo tab USP 25/250mg 100 Tru
50386HF1,40045,Metoprolol Tar Tab USP 37.5mg 100 TRU
50391HJ1,40616,Carvedilol Tab USP 3.125mg 500
50391HK1,40665,Carvedilol Tab USP 3.125mg 1000
50392HK1,40018,Baclofen Tab USP 10mg 1000 TRU
